mint,parameter_set_id,time_segment,first_tradable_observed_at_us,first_tradable_event_at_us,gap_event_count,market_events_available,market_events_processed,transition_count,response_failed_new_low_count,furthest_setup_stage,final_classification,last_reason,clock_expired,impulse_age_ms,impulse_return_bps,impulse_trade_count,impulse_unique_buyers,impulse_3s_buys,impulse_3s_net_flow_lamports,impulse_peak_age_ms,impulse_peak_return_bps,pullback_active_age_ms,impulse_to_pullback_ms,pullback_depth_at_activation_bps,deepest_pullback_depth_bps,pullback_low_age_ms,pullback_low_depth_at_response_bps,response_age_ms,pullback_to_response_ms,response_rebound_bps,response_window_buys,response_window_sells,response_window_net_flow_lamports,response_window_price_change_bps,response_10s_buys,response_10s_sells,response_10s_net_flow_lamports,candidate_age_ms,response_to_candidate_ms,candidate_return_from_t0_bps,candidate_drawdown_from_high_bps,reclaim_extension_bps,runaway_reject_age_ms
AxFT1YGrrf4NKb7eg99iW3vMhWQMEamk2DJLKGYnpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077483405654,1787076786000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8pGvyeMVv9kwGN265xrmUiJ5bFRTbyxPDfP3ELnJpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077469771867,1787076785000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68zfuMUEqq4A7mdDqoQQvTsUn6zLvYQkafw787K2FBze,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077462288248,1787076785000000,0,22,22,7,0,WAITING_FOR_RECLAIM,EXPIRED,ENTRY_WINDOW_EXPIRED,True,8,1014,2,2,2,7703703702,21085,2398,25404,25396,1015,4342,96287,4342,103375,77971,1454,1,0,69135801,0,3,2,-387893165,,,,,,
FLp9ohj7Lye6JpoB5FLdoETAKHdHDZm5Vk7ZAxYRpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077459906458,1787076785000000,0,4,4,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ULnHREJdBvzYjesUhm46A6EfwmMj1yMPuoEJYVDBpkZ,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077457326750,1787076784000000,0,12,12,4,0,WAITING_FOR_PULLBACK,EXPIRED,ENTRY_WINDOW_EXPIRED,True,109,1759,5,5,5,3466740832,2572,1817,,,,,,,,,,,,,,,,,,,,,,
5RKCoUbp5HKPJR49svNs53emqU2ffWmvA53ceWs6pump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077452669996,1787076784000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6sCLdjJp1BGy5DmMLkFYCv6Aeu82Y9iqSNhNwfWKpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077447297487,1787076784000000,0,8,8,4,0,WAITING_FOR_PULLBACK,EXPIRED,ENTRY_WINDOW_EXPIRED,True,2409,520,5,5,5,790123452,2409,520,,,,,,,,,,,,,,,,,,,,,,
CnanqtomBVJnT1MXAhoQLE1NuAdhpFqyd9r2DyDzpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077436683872,1787076783000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2GeLRyHhF7pWHQZVMrrB8RQJ6skNbkNxToh1ipzKpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077410132685,1787076782000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6FgnQMU4VZKrC3fxVJfQ9MbaUBBn6XCsXg4mRUFpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077402510282,1787076781000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZ1CJhJA7HVqbV3nLDsuB2pk9X5fjjLieBySe6fcSuYj,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077395015711,1787076781000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4UeoZ7ufmdLv5ZNpoYCX4Cnud9LuLpHJyyvZwRbpgGSW,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077344764076,1787076778000000,0,9,9,6,0,WAITING_FOR_RESPONSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,4428,2704,2,2,1,3922745000,4428,2704,70095,65667,2535,2535,70095,,,,,,,,,,,,,,,,,
Dx1qqmSFoJ8Fko2xcUpYbQ95eYfzkKhqGxcrZVoFpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077342138999,1787076778000000,0,189,21,9,1,CANDIDATE_SIGNAL,CANDIDATE_SIGNAL,RECLAIM_CONFIRMED,False,3,1023,3,3,3,6747000000,2512,4617,9804,9801,2016,2044,17281,2016,14512,4708,1349,1,0,1481481480,0,3,2,-2035269757,22057,7545,2613,-1371,234,
4ddtVZbrQ1JivaA9rT9YxafyXwRbjYkXq7gfhPs8DQ4V,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077342121982,1787076778000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89RSsU93dKCLW2rnvexmzzVwwo8xkF41nT7VA1VWpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077304787732,1787076776000000,0,8,8,6,0,WAITING_FOR_RESPONSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,8170,532,3,3,1,254367789,8170,532,160308,152138,1431,1431,160308,,,,,,,,,,,,,,,,,
65ZfvDHPXnZxUpGYxruAaMWRjus4i4eo6dGPd9Rppump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077289921593,1787076775000000,0,6,6,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7GysKgQyT6nr4KhNM4J9cVQreTie45rLf9SKuxXSeDF7,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077283695018,1787076774000000,0,7,7,5,0,PULLBACK_ACTIVE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,62,2704,2,2,2,4785640524,62,2704,35394,35332,2535,2535,35394,,,,,,,,,,,,,,,,,
B5CrrbdHp2rTxycmbwAy4tdLwxk2FeUFzsSoPer5pump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077250471105,1787076772000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4oVAFf8Uor3G3rwuHMmACqaY1HMRVSeDg4zk8nzpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077225501636,1787076771000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
