mint,events_available,states_in_entry_window,has_observation_after_entry_window,gap_event_count,first_trade_pump_timestamp_delta_ms,max_return_from_t0_bps,max_drawdown_depth_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_total_volume_since_t0_lamports,max_3s_buys,max_3s_sells,max_3s_net_flow_lamports,max_3s_price_change_bps,max_10s_trades,max_10s_volume_lamports
FLp9ohj7Lye6JpoB5FLdoETAKHdHDZm5Vk7ZAxYRpump,4,3,False,0,674906,56,0,3,3,1074585096,3,0,1074585096,56,3,1074585096
9ULnHREJdBvzYjesUhm46A6EfwmMj1yMPuoEJYVDBpkZ,12,11,False,0,673326,1817,896,11,7,5088992194,7,2,3550385361,1817,8,4567626337
5RKCoUbp5HKPJR49svNs53emqU2ffWmvA53ceWs6pump,1,1,False,0,668669,0,0,1,0,348797865,0,1,-348797865,0,1,348797865
6sCLdjJp1BGy5DmMLkFYCv6Aeu82Y9iqSNhNwfWKpump,8,7,False,0,663297,520,261,7,5,1195288976,5,2,790123452,520,5,790123452
CnanqtomBVJnT1MXAhoQLE1NuAdhpFqyd9r2DyDzpump,1,1,False,0,653683,0,0,1,1,1975308641,1,0,1975308641,0,1,1975308641
2GeLRyHhF7pWHQZVMrrB8RQJ6skNbkNxToh1ipzKpump,1,1,False,0,628132,0,0,1,0,84092795,0,1,-84092795,0,1,84092795
B6FgnQMU4VZKrC3fxVJfQ9MbaUBBn6XCsXg4mRUFpump,1,1,False,0,621510,0,0,1,0,483680495,0,1,-483680495,0,1,483680495
EZ1CJhJA7HVqbV3nLDsuB2pk9X5fjjLieBySe6fcSuYj,1,1,False,0,614015,0,0,1,0,1372113311,0,1,-1372113311,0,1,1372113311
4UeoZ7ufmdLv5ZNpoYCX4Cnud9LuLpHJyyvZwRbpgGSW,9,8,False,0,566764,2704,2535,8,5,9674508344,3,1,3922745000,0,5,5947082256
Dx1qqmSFoJ8Fko2xcUpYbQ95eYfzkKhqGxcrZVoFpump,189,184,True,0,564138,16413,4761,184,91,115119363430,17,7,12315946603,4796,27,19305754786
4ddtVZbrQ1JivaA9rT9YxafyXwRbjYkXq7gfhPs8DQ4V,1,1,False,0,564121,0,0,1,1,25000001,1,0,25000001,0,1,25000001
89RSsU93dKCLW2rnvexmzzVwwo8xkF41nT7VA1VWpump,8,7,False,0,528787,532,1431,7,4,5558455660,2,1,2154547543,500,3,2408915332
65ZfvDHPXnZxUpGYxruAaMWRjus4i4eo6dGPd9Rppump,6,5,False,0,514921,54,1224,5,3,4056453169,3,1,2032560631,54,3,2032560631
7GysKgQyT6nr4KhNM4J9cVQreTie45rLf9SKuxXSeDF7,7,6,False,0,509695,2704,2535,6,4,9654755261,4,1,4785640524,2704,5,5947082256
B5CrrbdHp2rTxycmbwAy4tdLwxk2FeUFzsSoPer5pump,1,1,False,0,478471,0,0,1,0,103296321,0,1,-103296321,0,1,103296321
H4oVAFf8Uor3G3rwuHMmACqaY1HMRVSeDg4zk8nzpump,1,1,False,0,454501,0,0,1,0,27346749,0,1,-27346749,0,1,27346749
ADWtiF1roQR2LXkV7UB3pBRXuh5hCWfp6zF8tRvLStxo,7,6,False,0,452203,2704,2554,6,3,9595128306,2,1,4785640524,2704,3,5877946456
24ciaAuJ9gYHFiBGo9umfXTLcnZv2DGZ29qW2uZWpump,22,19,True,0,448471,1988,1747,19,4,7069758903,4,3,3959467691,1988,4,3959467691
8YBBhovjGX1EpZ6jJqKHamhqn3c6SBc2dmmGwX43pump,1,1,False,0,443884,0,0,1,0,29629628,0,1,-29629628,0,1,29629628
4YQchgMod9WqHCVJmbduGr4vG5QrLXJqfrsTTmkapump,12,11,False,0,443810,1608,2429,11,5,9695686723,3,3,4280000000,1476,4,4477530863
99Eqt9f1pDiBfaRQJUpxMcbLMHgyGtSLj5Nbgmj7HSzo,1,1,False,0,441054,0,0,1,0,200000000,0,1,-200000000,0,1,200000000
3z1aun6tqmGGD75w23DLcQawy655xMgPJTgmRy2cpump,1,1,False,0,432839,0,0,1,0,740624999,0,1,-740624999,0,1,740624999
GN8cnxehow6suzvczfM2ZzangFMRSxFQUL4Yt36gpump,2,1,False,0,427350,0,0,1,1,800125018,1,0,800125018,0,1,800125018
J3BLJyPNMV1YHtqn81wUjTq4KsB3mFD8WKez44EJpump,2,1,False,0,425904,0,0,1,1,493827159,1,0,493827159,0,1,493827159
FYocWZxfrGyqAXmLAatXws6zb56pbY2gZUa3KqVpQEk2,9,8,False,0,419209,2012,2104,8,5,7880283295,4,2,3825858486,2012,6,5002825143
3NDr1uLVdeNQKpdHasDC3SpQb1A2w3QEQ9x9fwSNpump,2,1,True,0,413022,0,0,1,0,485587063,0,1,-485587063,0,1,485587063
ETMYJeCNgm3HW63Z6fSz7Ks6U7KzVcrMWPdE1822pump,1,1,False,0,402593,0,0,1,0,89835746,0,1,-89835746,0,1,89835746
HpQ7g272RNeDbeCfKEZrBdPJG6bTSHtBtsQddaoipump,1,1,False,0,395685,0,0,1,0,60280737,0,1,-60280737,0,1,60280737
F1VET93pHMiaQbDQEefDfcAkGCQk3yTq7ihg5diCpump,1,1,False,0,395660,0,0,1,0,47058386,0,1,-47058386,0,1,47058386
388MmbRP3mvHyiiNtL5mGcEN3cGrKibj8jUjvRo1yK9W,1,1,False,0,395614,0,0,1,0,885719491,0,1,-885719491,0,1,885719491
3cRRwsW47pxYF2pbLKjGJhp1u2nBajfJLgTqeCaBpump,1,1,False,0,392248,0,0,1,0,16147257,0,1,-16147257,0,1,16147257
4eo7RywxSifvBaorqKhr7JE5qYH4Ufc3BAX7NJEwoEuS,2,2,False,0,384238,0,190,2,0,745560518,0,1,-310606359,0,1,434954159
kRSYfJiDDjbA5B6VtwweBG4RA8moGyTam6fGW5HvDja,9,9,False,0,377968,2026,0,9,9,4361802814,3,0,2130295948,664,3,2130295948
oou2cQqU3kpWJ23BGMm4BuBbJ72nnEbrfHHioDzanxs,1,1,False,0,373248,0,0,1,0,85812282,0,1,-85812282,0,1,85812282
4T1KogxQcpvNKRwr2zbsMbg6hxUp1XNCgPTZGTrBpump,1,1,False,0,371793,0,0,1,0,44754476,0,1,-44754476,0,1,44754476
DnsP5EFLTVbFDhRpodTXXrHrW7Hz1LyQfNMgyHCFpump,2,2,False,0,369229,0,16,2,0,3001341621,0,2,-2976543179,0,2,3001341621
Be3xxfigaYz4hVNzZ3KUyu26BhnQ6ABeGtx3YYLfrkSL,10,9,False,0,343383,2241,2161,9,5,8061098558,5,2,4147170651,2241,5,4147170651
GyHaKaX8qYapyeXmUWYySnY3LZjuPe9B962VPbCipump,3,2,False,0,340628,1084,0,2,2,110857319,1,0,100015626,0,1,100015626
AcRtEv1cj7HeegGqXo4AGkruMVaHgFbnTK1Ao8t6pump,56,30,True,0,340613,3921,7425,30,4,1049172724,2,2,120889442,1055,3,228902214
468eVWi964Jy1SAFq1HJixr7erdTzTp9NKnKzKPYpump,1,1,False,0,338621,0,0,1,0,144304918,0,1,-144304918,0,1,144304918
B9D5uDCxJmr9reRMoUdzvrS8sefwCDyQXGoTNNg3fgYw,2,2,False,0,309073,0,129,2,1,391111109,1,1,195555555,0,1,195555555
2baicCwq8XaXZsni2jt9ofaBiNsCtFsjT5vHZUscpump,2,2,False,0,283432,0,994,2,1,240000001,1,1,120000001,0,1,120000001
J4AUPKtYEqt5VHe8zWN72o7QzWt1wjVRyZxEbUDepump,6,5,False,0,272817,63,63,5,3,1095716200,2,2,900150647,0,2,900150647
HNKCC9MRbADQZeud31YvyDapjjD1JENkwvEKSvvgpump,5,4,False,0,268896,472,0,4,3,956179658,2,0,493827159,129,3,706140592
77oUtJndaiELNWWn7PD2cRtW4EMo3dsFFPmye75apump,1,1,False,0,262999,0,0,1,0,98765431,0,1,-98765431,0,1,98765431
CEnCFYxux8H6gKUh6QMduyzAYxaPy3TQBZKy3hCVhoCQ,1,1,False,0,260566,0,0,1,0,41593564,0,1,-41593564,0,1,41593564
61a3gXbmshsQFwBPpJZoe6SNzV4qm35ZCJxFtK4Jpump,1,1,False,0,253640,0,0,1,0,740624999,0,1,-740624999,0,1,740624999
