mint,event_key,signature,event_type,observed_at_utc,observed_at_us,source_decoded_file,diagnosis,sol_amount_lamports,quote_amount_raw,virtual_sol_reserves,virtual_token_reserves,virtual_quote_reserves,real_sol_reserves,real_token_reserves,real_quote_reserves,quote_mint,ix_name,full_current_tail_decoded
FW4v33A3x7GTTDZBQxozWfPkxnJ3eowM3cye7uLNpump,2WC3Fpi5pab7aCfn7YoyXzYJbAcPcd9i14JSQHhKsVV9dFsuroJ4kiPVRFq9CKmfThQKwcqfDNr4DqYxqcQ1XngL:0:bddb7fd34ee661ee,2WC3Fpi5pab7aCfn7YoyXzYJbAcPcd9i14JSQHhKsVV9dFsuroJ4kiPVRFq9CKmfThQKwcqfDNr4DqYxqcQ1XngL,SELL,2026-08-18T18:16:34.933369+00:00,1787076994933369,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,1914557,0,2050570114979893,39086458,0,1770670114979893,422917,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,3NHUw2wiwYKJrA8XcjtaxTbBJ4rnMo5FJw9fZHtjgXRMMrMWfePqPk27UQ22QJJoDDQyz3dPi4dHK9NAnUitdM3E:1:bddb7fd34ee661ee,3NHUw2wiwYKJrA8XcjtaxTbBJ4rnMo5FJw9fZHtjgXRMMrMWfePqPk27UQ22QJJoDDQyz3dPi4dHK9NAnUitdM3E,BUY,2026-08-18T18:15:03.523423+00:00,1787076903523423,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,86913579,0,1051702874906178,4378913579,0,771802874906178,86913579,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,4hauPYACviHfjwyiFuXq4p8H15oUngJU14mFaHSQtGRrdqBk4az2G9L6wvgEcjMyNvM2m6Sb5Mh44Dv8DPXJWrUj:0:bddb7fd34ee661ee,4hauPYACviHfjwyiFuXq4p8H15oUngJU14mFaHSQtGRrdqBk4az2G9L6wvgEcjMyNvM2m6Sb5Mh44Dv8DPXJWrUj,SELL,2026-08-18T18:15:11.208046+00:00,1787076911208046,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,22162961,0,1057052928857139,3278556711,0,777152928857139,64750618,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,61TJB2WaqBxWKTSTLxdCFAjxPcnLTBmLtK2nCTtUfW1mLZkJqMvaz4NtYjW6Rpb4DjPaadS4VufBbySkA3ASSccT:0:bddb7fd34ee661ee,61TJB2WaqBxWKTSTLxdCFAjxPcnLTBmLtK2nCTtUfW1mLZkJqMvaz4NtYjW6Rpb4DjPaadS4VufBbySkA3ASSccT,BUY,2026-08-18T18:15:20.564553+00:00,1787076920564553,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,20273418,0,1050556663503415,4279137898,0,770656663503415,85024036,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,2CQkBxbTU8bzscqxR9eBoHvskmp7D7DEPGx55P4iyf4NnRxHDzx7oKW4BtigvVUMHR966nr9hwX9AoF99mnsoYnE:0:bddb7fd34ee661ee,2CQkBxbTU8bzscqxR9eBoHvskmp7D7DEPGx55P4iyf4NnRxHDzx7oKW4BtigvVUMHR966nr9hwX9AoF99mnsoYnE,BUY,2026-08-18T18:15:40.877046+00:00,1787076940877046,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,12107422,0,1047592597850803,4874968652,0,767692597850803,97131458,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,2vV8MeMcAjPVoHB2Y76d8qM9EPAtj5NHonigAPsnjay4So4M1HDLdnQ5FXhohy28thX2JiRRixsBMW2YtFukUEDP:0:bddb7fd34ee661ee,2vV8MeMcAjPVoHB2Y76d8qM9EPAtj5NHonigAPsnjay4So4M1HDLdnQ5FXhohy28thX2JiRRixsBMW2YtFukUEDP,SELL,2026-08-18T18:16:03.558562+00:00,1787076963558562,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,16230665,0,1051092092083416,4073654903,0,771192092083416,80900793,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,49VXoRgBqP49Y1nLcgTh55QrMf4zb7bo3x4PwDvmVvdCVo4MsooDYg66YCFsCnv8oLWjVe6792phBb38kuH7ipmi:0:bddb7fd34ee661ee,49VXoRgBqP49Y1nLcgTh55QrMf4zb7bo3x4PwDvmVvdCVo4MsooDYg66YCFsCnv8oLWjVe6792phBb38kuH7ipmi,SELL,2026-08-18T18:16:09.654911+00:00,1787076969654911,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,12151298,0,1054236773347483,3471943374,0,774336773347483,68749495,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,2fZvHHCQy8WDkwJeFEAZhgN38UWjnKJ22xGW4c8dkngsCyvEkomDxq4ap6VQFRBvaGY4WpH9N2M6a8nN3wAFr3Tv:0:bddb7fd34ee661ee,2fZvHHCQy8WDkwJeFEAZhgN38UWjnKJ22xGW4c8dkngsCyvEkomDxq4ap6VQFRBvaGY4WpH9N2M6a8nN3wAFr3Tv,BUY,2026-08-18T18:16:14.574908+00:00,1787076974574908,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,18937304,0,1048517757701328,3490880678,0,768617757701328,87686799,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy_exact_quote_in,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,2SeYacYznLeBo8PtNrhPVj1F5wCBhMFzbJ44YBHP3toERXReagPrvtrKxTJEuwR7zybdzaxnwDtBv4qkzGPscbtR:0:bddb7fd34ee661ee,2SeYacYznLeBo8PtNrhPVj1F5wCBhMFzbJ44YBHP3toERXReagPrvtrKxTJEuwR7zybdzaxnwDtBv4qkzGPscbtR,BUY,2026-08-18T18:16:14.669193+00:00,1787076974669193,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,15342820,0,1043929568104042,3506223498,0,764029568104042,103029619,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy_exact_quote_in,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,41Mpt87HgpxFjnQiHTzsYhf7XResYh6im6SGtw4dh1VF37DCS1qZcCis2ejx4PTG9C4YJBrJe9XvaCkSfbo5L8aM:0:bddb7fd34ee661ee,41Mpt87HgpxFjnQiHTzsYhf7XResYh6im6SGtw4dh1VF37DCS1qZcCis2ejx4PTG9C4YJBrJe9XvaCkSfbo5L8aM,SELL,2026-08-18T18:16:28.428495+00:00,1787076988428495,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,17772608,0,1049248075552707,2915747445,0,769348075552707,85257011,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,4zxDej2e5qSXXfYDXnJRjcp1nwv8xKQFqh9DMoK657KMTJcanhzhtvEYKgnNTDRoGrLwXQxDEiZp3ddB7BUxzFiA:0:bddb7fd34ee661ee,4zxDej2e5qSXXfYDXnJRjcp1nwv8xKQFqh9DMoK657KMTJcanhzhtvEYKgnNTDRoGrLwXQxDEiZp3ddB7BUxzFiA,SELL,2026-08-18T18:16:39.738580+00:00,1787076999738580,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,5516127,0,1051236847597971,2732116511,0,771336847597971,79740884,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
