mint,t0_observed_at_us,t0_observed_at_utc,trade_events_5m,root_class,quote_candidate_events,unresolved_events,diagnosis_counts_json,quote_mints_json,ix_names_json,tail_decode_json
fmc6SKPMFsBa1TcJ82aAvCG6aiwReKo5xU8gi8Apump,1787069281368145,2026-08-18T16:08:01.368145+00:00,5,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,5,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":5}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":5}","{""buy"":2,""sell"":3}","{""True"":5}"
FenJ7zfi3AS5egmNYNeb2XD6PY6tf4nzDSZBcypfpump,1787069272877631,2026-08-18T16:07:52.877631+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
NWcMVju4D12KwLEjN1dkcMLTKDwaGWV1yFGpqDApump,1787069189417989,2026-08-18T16:06:29.417989+00:00,6,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,6,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":6}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":6}","{""buy"":3,""buy_exact_quote_in"":1,""sell"":2}","{""True"":6}"
GjGjwxvEWwmDe7wb6i9ALMqRcz19RMsmieRYSyrSpump,1787069187072116,2026-08-18T16:06:27.072116+00:00,19,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,19,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":19}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":19}","{""buy"":6,""sell"":13}","{""True"":19}"
59pjdCbBm5GiarhcyRUNi9pVfuU4h9HvHgmD4atopump,1787069136181001,2026-08-18T16:05:36.181001+00:00,4,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,4,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":4}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":4}","{""buy"":2,""sell"":2}","{""True"":4}"
DFv3YAzYT9rSD22v1ZDm9zwWXNVXtBNWWg1GXpuVpump,1787069123546508,2026-08-18T16:05:23.546508+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy"":1}","{""True"":1}"
CW8M7xzXTBXtbhc5Y14gAXuKT9NaXqfeJP7s5K6vpump,1787069120853460,2026-08-18T16:05:20.853460+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy_exact_quote_in"":1}","{""True"":1}"
G7GQXnwo4HgJZwacfNFRpUWh5GjWqPnHnxDtNaCtpump,1787069118276610,2026-08-18T16:05:18.276610+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
9cwikQxaYdjaAcGuCgsjnCzKaSwvzPRVLJvyhvwPpump,1787069072193670,2026-08-18T16:04:32.193670+00:00,3,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,3,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":3}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":3}","{""sell"":3}","{""True"":3}"
BULTap9HQpqx56h8Mof4yCPLtx2GykC9XfZbSF47pump,1787069051404311,2026-08-18T16:04:11.404311+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy_exact_quote_in"":1}","{""True"":1}"
2VuKtZLaS35WeYDeCKDE1Zq7gFYBb6C5dnFY9BrFpump,1787068909192444,2026-08-18T16:01:49.192444+00:00,12,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,12,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":12}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":12}","{""buy"":2,""buy_exact_quote_in"":4,""sell"":6}","{""True"":12}"
5S8zUyVVKSo8i7PgZKorH6hSLBse34hA61QrRaQopump,1787068763025887,2026-08-18T15:59:23.025887+00:00,3,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,3,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":3}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":3}","{""buy"":2,""sell"":1}","{""True"":3}"
5qw3r6sfEvSSigpKHhG4Wf4ZpdxrN6SQQSJESVddpump,1787068283779903,2026-08-18T15:51:23.779903+00:00,16,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,16,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":16}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":16}","{""buy"":6,""buy_exact_quote_in"":6,""sell"":4}","{""True"":16}"
AVVHLJ2gAQx4eaD7eXQsYXAuf5Wd3cFNpFvzMfykpump,1787068185355286,2026-08-18T15:49:45.355286+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy"":1}","{""True"":1}"
7ATS6jVtX2c3hX3WHmkZKqrqmXFVhK4VXyoLGpwepump,1787068096865188,2026-08-18T15:48:16.865188+00:00,23,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,23,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":23}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":23}","{""buy"":9,""buy_exact_quote_in"":8,""sell"":6}","{""True"":23}"
7BzqmAjcy1EzcU2mhK6mto9qsBQSgmYRdgYSXz4Ypump,1787068045981448,2026-08-18T15:47:25.981448+00:00,2,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,2,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":2}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":2}","{""buy_exact_quote_in"":2}","{""True"":2}"
B5qtdQTve5BzzGTAAfNcrJeobvur6u1SPjq2CXyApump,1787068002130865,2026-08-18T15:46:42.130865+00:00,6,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,6,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":6}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":6}","{""buy"":3,""sell"":3}","{""True"":6}"
