mint,first_tradable_observed_at_us,first_tradable_observed_at_utc
24qjbbQ6Z28bVVFChRt8PfRQi36Q5w8kpRAhzDT2pump,1787078016873189,2026-08-18T18:33:36.873189+00:00
24rW98Uz2Zr2hZmZp7GtTf3GtP7dffdp3uHUB64ipump,1787067260417840,2026-08-18T15:34:20.417840+00:00
25VBxxYhYrjZy86nAU3HRTWxWgwmSEpRfvEAaKE2pump,1787065051253114,2026-08-18T14:57:31.253114+00:00
25bzbsbEnX2oFQ4A5yTghXnL6UtF5ZuoNgria1qKpump,1787069423154089,2026-08-18T16:10:23.154089+00:00
25nSThMwQUW96tyw32MzUNKKEpFWVPTn2fzsEiqapump,1787068765523916,2026-08-18T15:59:25.523916+00:00
25xyhS4CoqSnMQVgApv9CErgV9UgJ3scGiWUM6XLpump,1787065231500197,2026-08-18T15:00:31.500197+00:00
261a3rQQd1cCvYfhXE9KdgsoqbigFjeQHX5LgRsrpump,1787071001023312,2026-08-18T16:36:41.023312+00:00
269p2C24vNUB3NEkJsQcUUcKQz2Pee2Fg4GpuEa8pump,1787069102393497,2026-08-18T16:05:02.393497+00:00
28ASAfhWnTP9LqYYvyd1CyNm2yaCJfF1YVwzmMh1pump,1787069507796563,2026-08-18T16:11:47.796563+00:00
28WZVsZJxhMRQbeoEWKyUvo1Xdin9qyNVnRAYHLPpump,1787064262506022,2026-08-18T14:44:22.506022+00:00
28azdhuyttWsy1Cxdp1BLsMWU1YXan2BMjdQD7nPpump,1787071483951154,2026-08-18T16:44:43.951154+00:00
2965ex9UjjD6piAZaecyGo3HitPBzWPZjLRPbBwhpump,1787071467097499,2026-08-18T16:44:27.097499+00:00
297YndZP9ZwUUkJShXKMTRevtRt25JCwRZdPQ8hfpump,1787065708559217,2026-08-18T15:08:28.559217+00:00
29tQgTCDngnpLWcwmbHW1ekxyQicz8HibgW4ocG9G9G2,1787068573512332,2026-08-18T15:56:13.512332+00:00
2A7A7BbiqcW8NGWrcoMJdQc8biJz9a34tK4SsSVy6PAt,1787074428241568,2026-08-18T17:33:48.241568+00:00
2ABv5BRk3z6j2anJDJ325MEEhHBYaVebCXJHkadJpump,1787066732092190,2026-08-18T15:25:32.092190+00:00
