candidate_id,mint,signal_at,price_identity,mfe_bps_5m,mae_bps_5m,extrema_complete_5m,extrema_coverage_status_5m,5s_status,5s_return_bps,5s_mark_age_ms,5s_coverage_status,15s_status,15s_return_bps,15s_mark_age_ms,15s_coverage_status,30s_status,30s_return_bps,30s_mark_age_ms,30s_coverage_status,60s_status,60s_return_bps,60s_mark_age_ms,60s_coverage_status,2m_status,2m_return_bps,2m_mark_age_ms,2m_coverage_status,5m_status,5m_return_bps,5m_mark_age_ms,5m_coverage_status
fp1sig-7a63e7cb57ae61b1e6d5ad58,3ozDvt3ZGhGG4VkHUj4A7oSasPATSUceG3SonX2XYrL2,2026-08-18T14:43:22.651309+00:00,SOL_NATIVE,515,-5794,False,GAP,OBSERVABLE,177,1274,COMPLETE,OBSERVABLE,-598,2260,COMPLETE,COVERAGE_GAP,-1619,11089,GAP,COVERAGE_GAP,-3941,12453,GAP,COVERAGE_GAP,-3941,72453,GAP,COVERAGE_GAP,-5794,13126,GAP
fp1sig-9d97e4328bb916a11d605260,CbewmdDq2BimsA5FDqZnqYwrJyQVY3TbbdHBbjRYpump,2026-08-18T14:43:23.823694+00:00,SOL_NATIVE,2047,-9432,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,OBSERVABLE,-800,6139,COMPLETE,COVERAGE_GAP,159,412,GAP,COVERAGE_GAP,145,4025,GAP,COVERAGE_GAP,-9290,36546,GAP,COVERAGE_GAP,-9330,161842,GAP
fp1sig-edf5ae504c8b8b1635977a36,J3HqP4wLgW3PCeztsdUtaxfjuw9GU4KWGB9HQjABpump,2026-08-18T14:43:31.565962+00:00,SOL_NATIVE,-512,-2016,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,NO_FUTURE_PRICE,,,COMPLETE,COVERAGE_GAP,,,GAP,COVERAGE_GAP,-715,27005,GAP,COVERAGE_GAP,-715,87005,GAP,COVERAGE_GAP,-2016,28787,GAP
fp1sig-740d2e32e8dca7cc75543929,24qDEfnRLxeHdEboaa6RA4VYXQeZvpWzSMk1sdzQpump,2026-08-18T14:43:39.043667+00:00,SOL_NATIVE,-1099,-1099,False,GAP,OBSERVABLE,-1099,1116,COMPLETE,COVERAGE_GAP,-1099,11116,GAP,COVERAGE_GAP,-1099,26116,GAP,COVERAGE_GAP,-1099,56116,GAP,COVERAGE_GAP,-1099,116116,GAP,COVERAGE_GAP,-1099,296116,GAP
fp1sig-968af8daf3f4724e5679e7a5,F6HD4wxw2Nv3UZZgJKYz32uRpC7MUVM68w5fmiWbpump,2026-08-18T14:43:52.029681+00:00,SOL_NATIVE,3467,-5150,False,GAP,OBSERVABLE,447,879,COMPLETE,OBSERVABLE,238,2498,COMPLETE,OBSERVABLE,1271,868,COMPLETE,COVERAGE_GAP,585,1922,GAP,COVERAGE_GAP,-3956,827,GAP,COVERAGE_GAP,-4853,84447,GAP
fp1sig-da32a6770e93e7f5eaf8fff1,EiTdgDdinDDRutBUkZULxbGs5K2v9SJ9GmDqpTPMpump,2026-08-18T14:44:22.494510+00:00,SOL_NATIVE,-3282,-9753,False,GAP,OBSERVABLE,-3282,653,COMPLETE,COVERAGE_GAP,-5320,7941,GAP,COVERAGE_GAP,-5320,22941,GAP,COVERAGE_GAP,-5320,52941,GAP,COVERAGE_GAP,-5320,112941,GAP,COVERAGE_GAP,-9753,69843,GAP
fp1sig-0b9574019717bc9d2ec5ee07,Dtoz9eFU6orYN2ZBvSFNDWJzJTnJkT1yVDjizTFbpump,2026-08-18T14:45:15.726972+00:00,SOL_NATIVE,7624,-3521,False,GAP,COVERAGE_GAP,416,4951,GAP,COVERAGE_GAP,4977,5350,GAP,COVERAGE_GAP,3669,602,GAP,COVERAGE_GAP,7582,1746,GAP,COVERAGE_GAP,1171,563,GAP,COVERAGE_GAP,-2119,1891,GAP
fp1sig-d73b9e8e62991ffde32001ee,BYh8yraJPYtngRsQ16gfmFaA6UmiKvb6Q6f184zEpump,2026-08-18T14:45:25.485724+00:00,SOL_NATIVE,9430,204,False,GAP,OBSERVABLE,358,2086,COMPLETE,OBSERVABLE,619,7585,COMPLETE,OBSERVABLE,869,4213,COMPLETE,COVERAGE_GAP,1549,26621,GAP,COVERAGE_GAP,5328,4199,GAP,COVERAGE_GAP,6745,34424,GAP
fp1sig-b073305684e65e77befa0f58,FpWrRbwR7GYRdeeqo7ZfASE5PuCPh1vZ8X97NbqSpump,2026-08-18T14:45:58.801455+00:00,SOL_NATIVE,740,381,False,GAP,COVERAGE_GAP,740,4897,GAP,COVERAGE_GAP,740,14897,GAP,COVERAGE_GAP,740,29897,GAP,COVERAGE_GAP,740,59897,GAP,COVERAGE_GAP,740,119897,GAP,COVERAGE_GAP,740,299897,GAP
fp1sig-d404cfec7d47f779f6241898,82c949QyXN9ziLsAhPyGXW39rDj1ZsdLQAv9fCjXpump,2026-08-18T14:46:30.594172+00:00,SOL_NATIVE,26040,-2508,False,GAP,OBSERVABLE,-921,344,COMPLETE,OBSERVABLE,-2508,883,COMPLETE,COVERAGE_GAP,22088,1234,GAP,COVERAGE_GAP,22504,1399,GAP,COVERAGE_GAP,25197,2372,GAP,COVERAGE_GAP,1840,16882,GAP
fp1sig-a75cc77138356266aaa13229,9RNoZoh5AZ5iWYBT4aYMtL942b1XqKwgYpe2XS8Ypump,2026-08-18T14:47:56.105338+00:00,SOL_NATIVE,1680,-818,False,GAP,OBSERVABLE,1089,118,COMPLETE,OBSERVABLE,1215,1616,COMPLETE,COVERAGE_GAP,1215,16616,GAP,COVERAGE_GAP,1215,46616,GAP,COVERAGE_GAP,-818,10175,GAP,COVERAGE_GAP,-818,190175,GAP
fp1sig-4f93cf10f7e9267bb16c6451,6TF1zu2MoEusj39JHJYjh9T5Grg5xdTH3XyfM9Wppump,2026-08-18T14:47:59.398028+00:00,SOL_NATIVE,18303,-9766,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,OBSERVABLE,3636,1775,COMPLETE,COVERAGE_GAP,18303,1172,GAP,COVERAGE_GAP,15287,2511,GAP,COVERAGE_GAP,-6695,2806,GAP,COVERAGE_GAP,-9766,3420,GAP
fp1sig-78e36ac10015e94bd56ad31f,4kgW9s5Judyb1hXSjpxpchwg1ABpcP8QTuweftfKpump,2026-08-18T14:48:28.148690+00:00,SOL_NATIVE,9702,17,False,GAP,OBSERVABLE,44,1619,COMPLETE,OBSERVABLE,181,26,COMPLETE,OBSERVABLE,297,1284,COMPLETE,COVERAGE_GAP,3496,1017,GAP,COVERAGE_GAP,4526,4235,GAP,COVERAGE_GAP,4513,179069,GAP
fp1sig-47362c753506d55457291003,2rnWSS5mH7yZXTSP2483wA9STCr5HHt1QvAXumzypump,2026-08-18T14:48:39.784496+00:00,SOL_NATIVE,201,0,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,OBSERVABLE,0,1212,COMPLETE,COVERAGE_GAP,0,16212,GAP,COVERAGE_GAP,5,6155,GAP,COVERAGE_GAP,189,10738,GAP,COVERAGE_GAP,189,190738,GAP
fp1sig-3e95bc9cdfc862466672bb3c,5vFLJANo7aB3EMEvKDjLSsnxJnWFXF2CP7QaZCjKpump,2026-08-18T14:48:43.055637+00:00,SOL_NATIVE,4307,-5807,False,GAP,OBSERVABLE,3411,3144,COMPLETE,OBSERVABLE,3537,1209,COMPLETE,COVERAGE_GAP,1825,13004,GAP,COVERAGE_GAP,-5649,2570,GAP,COVERAGE_GAP,-5306,34150,GAP,COVERAGE_GAP,-5807,103743,GAP
fp1sig-b9bca5252fa21cf31b16f9d2,H9S9qFsRNck2Kp3jKxkgW6uZenEWqsicDQ3WtyGpump,2026-08-18T14:50:15.602219+00:00,SOL_NATIVE,192,-6987,False,GAP,OBSERVABLE,192,3618,COMPLETE,OBSERVABLE,192,13618,COMPLETE,COVERAGE_GAP,-3016,312,GAP,COVERAGE_GAP,-2891,5461,GAP,COVERAGE_GAP,-3900,18168,GAP,COVERAGE_GAP,-6987,12955,GAP
fp1sig-627b2636679365161306a7a9,BSXFT7VfjXnVAagQyHUPqCfgk2P1f5hEEa6acxK9pump,2026-08-18T14:51:03.120182+00:00,SOL_NATIVE,-634,-9503,False,GAP,OBSERVABLE,-1784,1546,COMPLETE,COVERAGE_GAP,-2094,4352,GAP,COVERAGE_GAP,-2094,19352,GAP,COVERAGE_GAP,-2094,49352,GAP,COVERAGE_GAP,-2094,109352,GAP,COVERAGE_GAP,-9503,106322,GAP
fp1sig-84100da74cd54880c262d8b6,CMSqjACTfSYB8Qg2ZF2pz61GrvNBekfoXGmMtP7Gpump,2026-08-18T14:51:06.569337+00:00,SOL_NATIVE,4503,1049,False,GAP,OBSERVABLE,4386,1420,COMPLETE,COVERAGE_GAP,4386,11420,GAP,COVERAGE_GAP,4386,26420,GAP,COVERAGE_GAP,4386,56420,GAP,COVERAGE_GAP,4386,116420,GAP,COVERAGE_GAP,4386,296420,GAP
fp1sig-ed2f0c49acf9091f5a33add9,Bapyr2ew7jZ4tqjpS8pth7aNXCvQtnhuiNMwK3xxE4Zm,2026-08-18T14:52:33.010741+00:00,SOL_NATIVE,3498,319,False,GAP,OBSERVABLE,1910,1185,COMPLETE,COVERAGE_GAP,3498,3691,GAP,COVERAGE_GAP,3498,18691,GAP,COVERAGE_GAP,3498,48691,GAP,COVERAGE_GAP,3498,108691,GAP,COVERAGE_GAP,3498,288691,GAP
