parameter_set_id,combo_index,ab_role,ab_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0004-C-057-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL6000,57,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,2,6000,3901,141,3691,68,1,0,141,3901,88,-160,220,1304,79,-539,84,1284,38,-294,391,1535,12,-10,1657,6933,10,-3076,-2584,3349,5,-6374,-5760,-2551,5,79,84,38,391,False
FP1-EXP0004-C-058-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL30000,58,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,2,30000,3901,115,3712,74,0,0,115,3901,76,-291,220,1304,66,-969,84,1284,32,-484,144,1176,9,314,1876,6535,6,-2772,-2584,3349,2,-2551,-2551,2478,2,66,84,32,144,False
FP1-EXP0004-C-059-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL93000,59,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,2,93000,3901,52,3769,80,0,0,52,3901,35,-594,788,1934,29,-1128,305,1639,15,-1011,526,1320,6,314,356,3046,3,-2772,-236,2213,0,,,,0,29,305,15,526,False
FP1-EXP0004-C-060-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL185000,60,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,2,185000,3901,19,3799,83,0,0,19,3901,13,-326,18,860,9,-1128,-569,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,9,-569,4,-2083,False
FP1-EXP0004-C-061-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL0,61,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,3,0,3901,126,3704,70,1,0,126,3901,83,-288,186,1162,77,-398,115,1177,42,-294,182,1245,11,314,1876,6933,8,-4375,1544,7134,3,-6374,-5760,-2736,3,77,115,42,182,False
FP1-EXP0004-C-062-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL6000,62,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,3,6000,3901,116,3711,73,1,0,116,3901,81,-288,209,1162,74,-630,133,1215,40,-374,188,1245,11,314,1876,6933,8,-4375,1544,7134,3,-6374,-5760,-2736,3,74,133,40,188,False
FP1-EXP0004-C-063-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL30000,63,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,3,30000,3901,97,3727,77,0,0,97,3901,67,-358,205,1266,60,-1214,120,1215,31,-490,526,1469,9,-595,1876,6535,6,-2768,1544,7134,1,-2736,-2736,-2736,1,60,120,31,526,True
FP1-EXP0004-C-064-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL93000,64,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,3,93000,3901,46,3775,80,0,0,46,3901,34,-1324,668,1722,28,-1382,305,1639,15,-1011,477,1320,6,-2581,314,3046,3,-4375,-236,2213,0,,,,0,28,305,15,477,False
FP1-EXP0004-C-065-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL185000,65,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,3,185000,3901,17,3801,83,0,0,17,3901,12,-613,18,860,8,-1748,-569,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,8,-569,4,-2083,False
FP1-EXP0004-C-066-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL0,66,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,4,0,3901,89,3733,78,1,0,89,3901,68,-281,329,1017,56,-593,133,1345,28,-490,414,1320,10,-3144,-132,5769,6,3349,4418,7195,2,-6374,-6374,-3113,2,56,133,28,414,False
FP1-EXP0004-C-067-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL6000,67,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,4,6000,3901,86,3736,78,1,0,86,3901,69,-281,329,1017,56,-1214,120,1345,29,-490,414,1320,10,-3144,-132,5769,6,3349,4418,7195,2,-6374,-6374,-3113,2,56,120,29,414,False
FP1-EXP0004-C-068-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL30000,68,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,4,30000,3901,79,3742,80,0,0,79,3901,63,-358,205,1017,49,-593,120,1414,25,-321,639,1469,9,-3144,-132,3214,5,3349,4418,7134,1,-3113,-3113,-3113,1,49,120,25,639,False
FP1-EXP0004-C-069-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL93000,69,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,4,93000,3901,35,3784,82,0,0,35,3901,28,-326,690,1722,21,-593,776,1703,11,-518,929,1808,6,-4262,314,2403,3,-236,1611,4418,0,,,,0,21,776,11,929,True
FP1-EXP0004-C-070-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL185000,70,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,4,185000,3901,15,3803,83,0,0,15,3901,12,-613,18,860,8,-1748,-569,193,4,-2083,-902,-622,3,-6265,-4262,-77,2,-779,-779,4418,0,,,,0,8,-569,4,-902,False
FP1-EXP0004-C-071-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL0,71,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,8,0,3901,35,3784,82,0,0,35,3901,27,-214,236,931,25,-231,252,1110,12,-622,-112,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,25,252,12,-112,False
FP1-EXP0004-C-072-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL6000,72,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,8,6000,3901,35,3784,82,0,0,35,3901,26,-214,236,931,24,-357,252,1110,12,-622,-112,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,24,252,12,-112,False
FP1-EXP0004-C-073-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL30000,73,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,8,30000,3901,32,3787,82,0,0,32,3901,24,-231,204,931,23,-231,483,1314,11,-622,826,2386,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,23,483,11,826,True
FP1-EXP0004-C-074-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL93000,74,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,8,93000,3901,21,3798,82,0,0,21,3901,17,-214,149,931,15,-357,410,1110,7,-338,-112,2208,3,-394,-77,4047,1,-779,-779,-779,0,,,,0,15,410,7,-112,False
FP1-EXP0004-C-075-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL185000,75,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,8,185000,3901,8,3810,83,0,0,8,3901,6,-294,18,757,5,-569,-497,193,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,5,-497,1,-622,False
FP1-EXP0004-C-076-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL0,76,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,1,0,3901,164,3684,52,1,0,164,3901,84,-250,233,1350,92,-1229,89,1030,53,-842,297,1143,22,-2931,-842,4198,19,-6539,-1403,3334,7,-8851,-7769,-4555,7,92,89,53,297,False
FP1-EXP0004-C-077-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL6000,77,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,1,6000,3901,125,3710,66,0,0,125,3901,69,-234,262,1526,73,-842,164,997,42,-533,391,1143,17,-1870,-201,4950,14,-4641,-2042,3334,5,-8851,-8571,-7769,5,73,164,42,391,True
FP1-EXP0004-C-078-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL30000,78,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,1,30000,3901,92,3736,73,0,0,92,3901,60,-250,277,1415,52,-1214,194,1261,26,-211,784,1316,9,-1272,-10,4950,5,-2772,5,3334,0,,,,0,52,194,26,784,True
FP1-EXP0004-C-079-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL93000,79,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,1,93000,3901,53,3770,78,0,0,53,3901,34,-326,788,1620,29,-1128,443,1639,13,-518,526,1187,6,-394,356,3046,3,-2772,-236,2213,0,,,,0,29,443,13,526,False
FP1-EXP0004-C-080-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL185000,80,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,1,185000,3901,21,3797,83,0,0,21,3901,13,-326,18,860,9,-1128,-569,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,9,-569,4,-2083,False
FP1-EXP0004-C-081-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL0,81,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,2,0,3901,125,3713,63,0,0,125,3901,74,-160,150,1340,69,-656,52,1143,35,17,748,1469,11,-201,1121,4950,8,-4507,-2772,5,4,-9251,-8235,-6620,4,69,52,35,748,True
FP1-EXP0004-C-082-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL6000,82,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,2,6000,3901,105,3726,70,0,0,105,3901,66,-160,150,1526,60,-1059,54,917,31,17,784,1469,10,-132,1121,4950,7,-3166,-2224,4527,3,-9251,-8235,-5760,3,60,54,31,784,True
FP1-EXP0004-C-083-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL30000,83,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,2,30000,3901,86,3740,75,0,0,86,3901,59,-250,277,1520,47,-1214,228,1360,23,63,826,1412,7,-132,1121,6535,3,-2772,5,4527,0,,,,0,47,228,23,826,True
FP1-EXP0004-C-084-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL93000,84,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,2,93000,3901,50,3771,80,0,0,50,3901,34,-326,788,1620,27,-1312,410,1639,13,-518,526,1187,6,-394,356,3046,3,-2772,-236,2213,0,,,,0,27,410,13,526,False
FP1-EXP0004-C-085-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL185000,85,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,2,185000,3901,19,3799,83,0,0,19,3901,13,-326,18,860,9,-1128,-569,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,9,-569,4,-2083,False
FP1-EXP0004-C-086-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL0,86,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,3,0,3901,93,3736,71,1,0,93,3901,63,-54,150,1325,57,-861,110,804,31,-257,526,1412,9,-10,1657,6535,5,-4375,-236,1170,2,-7978,-7978,-5760,2,57,110,31,526,False
FP1-EXP0004-C-087-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL6000,87,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,3,6000,3901,84,3742,74,1,0,84,3901,60,-250,150,1325,52,-1220,110,804,27,-518,826,1412,8,-132,356,4950,4,-4507,-4375,-236,1,-5760,-5760,-5760,1,52,110,27,826,True
FP1-EXP0004-C-088-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL30000,88,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,3,30000,3901,73,3751,77,0,0,73,3901,53,-250,277,1340,43,-1220,194,1360,22,-518,826,1412,7,-132,356,6535,3,-4375,-236,4527,0,,,,0,43,194,22,826,False
FP1-EXP0004-C-089-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL93000,89,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,3,93000,3901,44,3777,80,0,0,44,3901,33,-594,690,1493,26,-1312,410,1639,13,-518,249,989,6,-2581,-394,3046,3,-4375,-236,2213,0,,,,0,26,410,13,249,False
FP1-EXP0004-C-090-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL185000,90,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,3,185000,3901,17,3801,83,0,0,17,3901,12,-613,18,860,8,-1748,-569,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,8,-569,4,-2083,False
FP1-EXP0004-C-091-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL0,91,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,4,0,3901,67,3755,78,1,0,67,3901,54,-80,277,1340,43,-1175,120,692,21,-321,103,966,8,-4262,-10,4387,4,-236,1730,4013,1,-8364,-8364,-8364,1,43,120,21,103,False
FP1-EXP0004-C-092-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL6000,92,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,4,6000,3901,64,3758,78,1,0,64,3901,53,-80,324,1340,42,-1214,120,692,20,-902,63,966,7,-4262,-10,4387,3,-236,4013,4418,0,,,,0,42,120,20,63,False
FP1-EXP0004-C-093-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL30000,93,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,4,30000,3901,60,3761,80,0,0,60,3901,50,-40,202,1386,38,-1175,194,986,18,-518,79,1009,7,-4262,-10,4387,3,-236,4013,4418,0,,,,0,38,194,18,79,False
FP1-EXP0004-C-094-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL93000,94,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,4,93000,3901,35,3784,82,0,0,35,3901,28,-326,690,1413,21,-593,546,1360,11,-518,639,1808,6,-4262,-394,2403,3,-236,1611,4418,0,,,,0,21,546,11,639,False
FP1-EXP0004-C-095-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL185000,95,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,4,185000,3901,15,3803,83,0,0,15,3901,12,-613,18,860,8,-1748,-569,193,4,-2083,-902,-622,3,-6265,-4262,-77,2,-779,-779,4418,0,,,,0,8,-569,4,-902,False
FP1-EXP0004-C-096-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL0,96,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,8,0,3901,28,3791,82,0,0,28,3901,22,-231,137,931,19,-357,494,1110,9,-338,826,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,19,494,9,826,False
FP1-EXP0004-C-097-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL6000,97,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,8,6000,3901,28,3791,82,0,0,28,3901,22,-231,137,931,19,-357,494,1110,9,-338,826,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,19,494,9,826,False
FP1-EXP0004-C-098-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL30000,98,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,8,30000,3901,27,3792,82,0,0,27,3901,22,-231,114,931,19,-357,494,1110,9,-338,826,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,19,494,9,826,False
FP1-EXP0004-C-099-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL93000,99,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,8,93000,3901,21,3798,82,0,0,21,3901,17,-214,149,931,15,-357,410,1110,7,-338,-112,2208,3,-394,-77,4047,1,-779,-779,-779,0,,,,0,15,410,7,-112,False
FP1-EXP0004-C-100-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL185000,100,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,8,185000,3901,8,3810,83,0,0,8,3901,6,-294,18,757,5,-569,-497,193,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,5,-497,1,-622,False
FP1-EXP0004-C-101-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL0,101,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,1,0,3901,70,3760,67,4,0,70,3901,34,-702,78,1092,36,-1570,31,1146,26,-1767,390,2213,9,-2581,-137,553,8,-6773,-4247,-193,4,-9307,-8281,-8235,4,36,31,26,390,False
FP1-EXP0004-C-102-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL6000,102,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,1,6000,3901,55,3768,75,3,0,55,3901,30,-901,-28,589,28,-2496,-72,645,21,-728,390,1657,7,-2581,-137,553,6,-4375,-4247,-193,4,-9307,-8281,-8235,4,28,-72,21,390,False
FP1-EXP0004-C-103-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL30000,103,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,1,30000,3901,39,3781,79,2,0,39,3901,24,-831,-28,589,19,-3702,22,741,12,-83,960,1325,3,-4871,-2581,553,2,-4375,-4375,-193,0,,,,0,19,22,12,960,True
FP1-EXP0004-C-104-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL93000,104,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,1,93000,3901,22,3796,82,1,0,22,3901,11,-1348,-90,788,9,-2207,173,1034,5,-27,526,929,3,-5408,-2581,553,2,-4375,-4375,-193,0,,,,0,9,173,5,526,False
FP1-EXP0004-C-105-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL185000,105,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,1,185000,3901,13,3805,83,0,0,13,3901,6,-613,-326,-269,5,-1035,-569,-497,3,-8072,-622,249,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,5,-569,3,-622,False
FP1-EXP0004-C-106-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL0,106,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,2,0,3901,53,3773,72,3,0,53,3901,30,-702,1,727,31,-815,12,741,20,-728,144,1535,5,-2581,66,553,4,-4375,-4247,-193,2,-8235,-8235,-5336,2,31,12,20,144,False
FP1-EXP0004-C-107-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL6000,107,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,2,6000,3901,45,3778,76,2,0,45,3901,29,-901,-47,589,26,-2496,-188,645,17,-728,414,1325,5,-2581,66,553,4,-4375,-4247,-193,2,-8235,-8235,-5336,2,26,-188,17,414,False
FP1-EXP0004-C-108-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL30000,108,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,2,30000,3901,33,3787,80,1,0,33,3901,23,-702,-47,727,17,-1570,31,636,10,-27,526,1316,3,-5408,-2581,553,2,-4375,-4375,-193,0,,,,0,17,31,10,526,False
FP1-EXP0004-C-109-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL93000,109,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,2,93000,3901,18,3799,83,1,0,18,3901,11,-1348,-90,788,9,-2207,173,1034,5,-27,526,929,3,-5408,-2581,553,2,-4375,-4375,-193,0,,,,0,9,173,5,526,False
FP1-EXP0004-C-110-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL185000,110,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,2,185000,3901,11,3807,83,0,0,11,3901,6,-613,-326,-269,5,-1035,-569,-497,3,-8072,-622,249,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,5,-569,3,-622,False
FP1-EXP0004-C-111-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL0,111,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,3,0,3901,44,3779,76,2,0,44,3901,28,-702,0,411,23,-1570,12,415,17,-27,413,1316,5,-2581,66,553,4,-4375,-4247,-193,2,-7978,-7978,-5336,2,23,12,17,413,False
FP1-EXP0004-C-112-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL6000,112,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,3,6000,3901,37,3784,78,2,0,37,3901,26,-702,-28,504,21,-2846,-102,377,15,-257,413,1316,4,-5793,-2581,66,3,-4375,-4247,-193,1,-5336,-5336,-5336,1,21,-102,15,413,False
FP1-EXP0004-C-113-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL30000,113,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,3,30000,3901,28,3791,81,1,0,28,3901,21,-702,-28,504,15,-4130,-497,173,10,-257,249,1316,3,-5793,-2581,553,2,-4375,-4375,-193,0,,,,0,15,-497,10,249,False
FP1-EXP0004-C-114-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL93000,114,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,3,93000,3901,17,3800,83,1,0,17,3901,11,-1348,-90,788,9,-2207,173,1034,5,-27,249,526,3,-5793,-2581,553,2,-4375,-4375,-193,0,,,,0,9,173,5,249,False
FP1-EXP0004-C-115-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL185000,115,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,3,185000,3901,9,3809,83,0,0,9,3901,5,-613,-326,-294,4,-8438,-569,-497,3,-8072,-622,249,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,4,-569,3,-622,False
FP1-EXP0004-C-116-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL0,116,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,4,0,3901,32,3788,79,2,0,32,3901,23,-326,3,411,18,-764,31,415,13,-91,24,414,4,-6265,-4262,553,3,-193,1730,4418,1,-8364,-8364,-8364,1,18,31,13,24,False
FP1-EXP0004-C-117-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL6000,117,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,4,6000,3901,29,3791,79,2,0,29,3901,23,-326,-28,411,17,-764,67,415,12,-902,-47,414,3,-6265,-4262,553,2,-193,-193,4418,0,,,,0,17,67,12,-47,False
FP1-EXP0004-C-118-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL30000,118,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,4,30000,3901,25,3794,81,1,0,25,3901,20,-326,-47,277,14,-764,31,635,9,-321,-47,639,3,-6265,-4262,553,2,-193,-193,4418,0,,,,0,14,31,9,-47,False
FP1-EXP0004-C-119-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL93000,119,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,4,93000,3901,14,3803,83,1,0,14,3901,9,-326,-90,46,7,-2207,173,1034,4,-902,-27,639,3,-6265,-4262,553,2,-193,-193,4418,0,,,,0,7,173,4,-27,False
FP1-EXP0004-C-120-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL185000,120,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,4,185000,3901,7,3811,83,0,0,7,3901,5,-613,-326,-294,4,-4333,-569,-497,3,-902,-622,639,3,-6265,-4262,-77,2,-779,-779,4418,0,,,,0,4,-569,3,-622,False
