mint,first_tradable_observed_at_us,trade_events_5m,priced_trade_events_5m,unpriced_trade_events_5m,first_trade_priceable,any_priceable_trade_5m,price_coverage_class,return_from_t0_metric_available,short_window_price_metric_available,gap_event_count,reserve_defect_codes
ETMYJeCNgm3HW63Z6fSz7Ks6U7KzVcrMWPdE1822pump,1787077168593967,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
HpQ7g272RNeDbeCfKEZrBdPJG6bTSHtBtsQddaoipump,1787077160685063,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
F1VET93pHMiaQbDQEefDfcAkGCQk3yTq7ihg5diCpump,1787077160660691,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
388MmbRP3mvHyiiNtL5mGcEN3cGrKibj8jUjvRo1yK9W,1787077160614547,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
3cRRwsW47pxYF2pbLKjGJhp1u2nBajfJLgTqeCaBpump,1787077156248769,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
4eo7RywxSifvBaorqKhr7JE5qYH4Ufc3BAX7NJEwoEuS,1787077148238519,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
kRSYfJiDDjbA5B6VtwweBG4RA8moGyTam6fGW5HvDja,1787077140968799,9,9,0,True,True,FULLY_PRICED_5M,True,True,0,
oou2cQqU3kpWJ23BGMm4BuBbJ72nnEbrfHHioDzanxs,1787077136248613,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
4T1KogxQcpvNKRwr2zbsMbg6hxUp1XNCgPTZGTrBpump,1787077133793631,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
DnsP5EFLTVbFDhRpodTXXrHrW7Hz1LyQfNMgyHCFpump,1787077131229674,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
Be3xxfigaYz4hVNzZ3KUyu26BhnQ6ABeGtx3YYLfrkSL,1787077103383754,9,9,0,True,True,FULLY_PRICED_5M,True,True,0,
GyHaKaX8qYapyeXmUWYySnY3LZjuPe9B962VPbCipump,1787077100628018,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
AcRtEv1cj7HeegGqXo4AGkruMVaHgFbnTK1Ao8t6pump,1787077100613561,30,30,0,True,True,FULLY_PRICED_5M,True,True,0,
468eVWi964Jy1SAFq1HJixr7erdTzTp9NKnKzKPYpump,1787077098621864,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
B9D5uDCxJmr9reRMoUdzvrS8sefwCDyQXGoTNNg3fgYw,1787077067073986,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
2baicCwq8XaXZsni2jt9ofaBiNsCtFsjT5vHZUscpump,1787077039432875,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
J4AUPKtYEqt5VHe8zWN72o7QzWt1wjVRyZxEbUDepump,1787077028817897,5,5,0,True,True,FULLY_PRICED_5M,True,True,0,
