parameter_set_id,combo_index,abc_role,abc_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,min_extension_from_response_bps,max_extension_from_response_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps
FP1-EXP0005-D-057-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW7000,57,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,500,7000,3901,21,3812,68,0,0,21,3901,15,80,538,1459,11,244,377,917,9,-338,587,1245,5,-394,1121,4950,3,-2772,5,4527,0,,,,0,11,377,9,587
FP1-EXP0005-D-058-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW10000,58,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,500,10000,3901,21,3812,68,0,0,21,3901,15,80,538,1459,11,244,377,917,9,-338,587,1245,5,-394,1121,4950,3,-2772,5,4527,0,,,,0,11,377,9,587
FP1-EXP0005-D-074-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2500,74,ROBUST_3,FP1-EXP0004-C-532-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000,5000,3,2,2500,6500,2300,2,6000,200,2500,3901,21,3796,80,4,0,21,3901,14,0,703,1863,9,274,692,1581,7,79,826,1412,5,-10,1121,4950,3,-2772,5,4527,0,,,,0,9,692,7,826
FP1-EXP0005-D-025-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2000,25,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,2000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213
FP1-EXP0005-D-026-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2500,26,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,2500,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213
FP1-EXP0005-D-027-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW3000,27,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,3000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213
FP1-EXP0005-D-028-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW7000,28,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,7000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213
FP1-EXP0005-D-029-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW10000,29,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,10000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213
FP1-EXP0005-D-070-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW7000,70,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,2500,7000,3901,9,3821,71,0,0,9,3901,5,170,710,788,5,636,1080,2165,5,526,929,2420,2,-2581,-2581,3046,2,-4375,-4375,2213,0,,,,0,5,1080,5,929
FP1-EXP0005-D-071-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW10000,71,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,2500,10000,3901,9,3821,71,0,0,9,3901,5,170,710,788,5,636,1080,2165,5,526,929,2420,2,-2581,-2581,3046,2,-4375,-4375,2213,0,,,,0,5,1080,5,929
FP1-EXP0005-D-045-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW3000,45,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,2500,3000,3901,6,3833,60,2,0,6,3901,4,170,710,788,3,636,2165,2668,3,526,2420,3771,1,3046,3046,3046,1,2213,2213,2213,0,,,,0,3,2165,3,2420
FP1-EXP0005-D-069-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW3000,69,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,2500,3000,3901,6,3821,71,3,0,6,3901,4,170,710,788,3,636,2165,2668,3,526,2420,3771,1,3046,3046,3046,1,2213,2213,2213,0,,,,0,3,2165,3,2420
