parameter_set_id,combo_index,abc_role,abc_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,min_extension_from_response_bps,max_extension_from_response_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0005-D-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW2000,1,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,2000,3901,195,3623,48,35,0,195,3901,112,-382,329,987,113,-980,194,1030,54,-1767,309,1142,20,-3054,-253,2965,18,-4501,-2376,4192,6,-8571,-4555,-2342,6,113,194,54,309,True
FP1-EXP0005-D-002-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW2500,2,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,2500,3901,205,3623,48,25,0,205,3901,114,-356,324,987,116,-980,192,1030,58,-1280,297,872,23,-3054,-253,2965,21,-3839,-1403,2808,8,-8571,-3863,-2342,8,116,192,58,297,True
FP1-EXP0005-D-003-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW3000,3,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,3000,3901,216,3623,48,14,0,216,3901,116,-356,329,1007,122,-980,181,1177,66,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,122,181,66,44,False
FP1-EXP0005-D-004-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW7000,4,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,7000,3901,228,3623,48,2,0,228,3901,121,-449,315,987,126,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,126,181,67,44,False
FP1-EXP0005-D-005-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW10000,5,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,10000,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,127,181,67,44,True
FP1-EXP0005-D-006-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW2000,6,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,2000,3901,177,3638,48,38,0,177,3901,101,-687,261,1162,100,-980,182,1423,49,-1767,33,1142,18,-2746,-503,3620,16,-5262,-2446,3759,5,-8571,-4555,-2551,5,100,182,49,33,False
FP1-EXP0005-D-007-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW2500,7,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,2500,3901,188,3638,48,27,0,188,3901,103,-687,236,1162,103,-969,182,1501,53,-1754,33,951,21,-2746,-503,2965,19,-4501,-1403,3759,7,-8571,-2833,3614,7,103,182,53,33,False
FP1-EXP0005-D-008-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW3000,8,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,3000,3901,200,3638,48,15,0,200,3901,105,-670,261,1162,109,-969,169,1501,61,-1754,22,1142,25,-2746,-503,3620,23,-4501,-1403,3759,10,-8571,-6374,-2551,10,109,169,61,22,False
FP1-EXP0005-D-009-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW7000,9,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,7000,3901,213,3638,48,2,0,213,3901,110,-754,195,1007,114,-906,123,1423,63,-1754,16,1142,25,-2746,-503,3620,23,-4501,-1403,3759,10,-8571,-6374,-2551,10,114,123,63,16,False
FP1-EXP0005-D-010-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW10000,10,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,10000,3901,215,3638,48,0,0,215,3901,110,-754,195,1007,115,-906,123,1423,63,-1754,16,1142,25,-2746,-503,3620,23,-4501,-1403,3759,10,-8571,-6374,-2551,10,115,123,63,16,False
FP1-EXP0005-D-011-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW2000,11,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,700,2000,3901,167,3642,48,44,0,167,3901,97,-508,180,1162,92,-1103,77,1520,46,-2238,-70,1213,16,-3380,-1805,2801,14,-5262,-2768,2808,5,-8571,-4555,-2736,5,92,77,46,-70,False
FP1-EXP0005-D-012-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW2500,12,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,700,2500,3901,181,3642,48,30,0,181,3901,99,-508,159,1162,97,-906,77,1520,51,-1767,22,1213,20,-3380,-639,2801,18,-4501,-1958,2808,7,-8571,-2833,3614,7,97,77,51,22,False
FP1-EXP0005-D-013-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW3000,13,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,700,3000,3901,193,3642,48,18,0,193,3901,101,-377,180,1162,103,-969,65,1581,59,-1767,-40,1245,24,-3380,-639,3214,22,-4501,-1958,2808,10,-8571,-6374,-2736,10,103,65,59,-40,False
FP1-EXP0005-D-014-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW7000,14,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,700,7000,3901,209,3642,48,2,0,209,3901,109,-508,97,987,111,-842,65,1520,64,-1754,-49,1213,24,-3380,-639,3214,22,-4501,-1958,2808,10,-8571,-6374,-2736,10,111,65,64,-49,False
FP1-EXP0005-D-015-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW10000,15,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,700,10000,3901,211,3642,48,0,0,211,3901,109,-508,97,987,112,-842,36,1501,64,-1754,-49,1213,24,-3380,-639,3214,22,-4501,-1958,2808,10,-8571,-6374,-2736,10,112,36,64,-49,False
FP1-EXP0005-D-016-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW2000,16,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,800,2000,3901,156,3647,48,50,0,156,3901,92,-687,159,1074,87,-1482,77,1501,44,-2303,-70,1117,16,-2768,900,2801,13,-4501,-2446,2808,5,-8571,-4555,-2736,5,87,77,44,-70,False
FP1-EXP0005-D-017-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW2500,17,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,800,2500,3901,171,3647,48,35,0,171,3901,95,-508,104,1074,92,-1103,65,1304,49,-1754,22,1117,20,-2768,900,2801,17,-2772,-1403,2808,7,-8571,-2833,3614,7,92,65,49,22,False
FP1-EXP0005-D-018-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW3000,18,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,800,3000,3901,184,3647,48,22,0,184,3901,98,-377,159,1085,99,-1103,65,1501,57,-1754,-40,1207,24,-2768,900,3214,21,-4323,-1403,2808,10,-8571,-6374,-2736,10,99,65,57,-40,False
FP1-EXP0005-D-019-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW7000,19,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,800,7000,3901,203,3647,48,3,0,203,3901,107,-508,65,1007,108,-858,63,1291,64,-1280,-40,1117,24,-2768,900,3214,21,-4323,-1403,2808,10,-8571,-6374,-2736,10,108,63,64,-40,False
FP1-EXP0005-D-020-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW10000,20,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,800,10000,3901,206,3647,48,0,0,206,3901,107,-508,65,1007,110,-842,63,1291,65,-1153,22,1143,24,-2768,900,3214,21,-4323,-1403,2808,10,-8571,-6374,-2736,10,110,63,65,22,False
FP1-EXP0005-D-021-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC2500-RW3000,21,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,2500,3000,3901,53,3709,59,80,0,53,3901,31,9,757,1385,27,-842,530,1952,20,-583,493,1525,11,-842,1126,10821,9,-2224,1126,4013,4,-8869,-7446,-6374,4,27,530,20,493,True
FP1-EXP0005-D-022-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC2500-RW7000,22,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,2500,7000,3901,121,3709,59,12,0,121,3901,61,-422,149,1216,54,-351,250,1184,41,-283,102,1119,17,-842,1126,4387,15,-4375,891,4087,6,-7446,-7090,-5760,6,54,250,41,102,False
FP1-EXP0005-D-023-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC2500-RW10000,23,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,2500,10000,3901,128,3709,59,5,0,128,3901,63,-422,70,1216,59,-280,250,1143,45,-283,102,1119,17,-842,1126,4387,15,-4375,891,4087,6,-7446,-7090,-5760,6,59,250,45,102,True
FP1-EXP0005-D-024-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC7100-RW10000,24,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,7100,10000,3901,36,3771,73,21,0,36,3901,16,-702,21,959,18,-767,31,1080,16,-905,94,2044,6,-4211,-201,2108,5,-3166,-193,3024,3,-9251,-7769,-4894,3,18,31,16,94,False
FP1-EXP0005-D-025-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2000,25,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,2000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213,True
FP1-EXP0005-D-026-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2500,26,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,2500,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213,True
FP1-EXP0005-D-027-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW3000,27,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,3000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213,True
FP1-EXP0005-D-028-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW7000,28,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,7000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213,True
FP1-EXP0005-D-029-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW10000,29,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,10000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213,True
FP1-EXP0005-D-030-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC500-RW2000,30,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,500,2000,3901,16,3827,58,0,0,16,3901,14,80,335,1459,9,274,410,917,6,-327,587,1412,4,-1272,-394,4950,2,5,5,4527,0,,,,0,9,410,6,587,False
FP1-EXP0005-D-031-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC500-RW2500,31,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,500,2500,3901,16,3827,58,0,0,16,3901,14,80,335,1459,9,274,410,917,6,-327,587,1412,4,-1272,-394,4950,2,5,5,4527,0,,,,0,9,410,6,587,False
