parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,candidate_count,rejected_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier,neighbor_count,neighbors_with_15s_median,neighbor_15s_p50_median_bps,neighbor_15s_p50_min_bps,neighbor_15s_p50_max_bps,neighbors_with_30s_median,neighbor_30s_p50_median_bps,neighbor_30s_p50_min_bps,neighbor_30s_p50_max_bps
FP1-EXP0002-A-049-R1500-T24-B5,1500,24,5,86,0,52,241,29,74,False,5,5,241,196,250,5,44,41,297
FP1-EXP0002-A-050-R1500-T24-B9,1500,24,9,75,0,48,250,25,297,True,4,4,241,238,250,4,185,74,331
FP1-EXP0002-A-051-R2000-T2-B1,2000,2,1,179,0,101,181,51,41,False,4,4,172,133,196,4,41,33,44
FP1-EXP0002-A-052-R2000-T2-B2,2000,2,2,159,0,90,196,46,41,False,5,5,196,181,238,5,41,41,44
FP1-EXP0002-A-053-R2000-T2-B3,2000,2,3,137,0,80,238,40,41,False,5,5,201,196,238,5,41,41,331
FP1-EXP0002-A-054-R2000-T2-B5,2000,2,5,114,0,68,201,33,331,True,5,5,201,181,241,5,331,41,331
FP1-EXP0002-A-055-R2000-T2-B9,2000,2,9,85,0,55,241,25,331,False,4,4,221,196,241,4,331,331,331
FP1-EXP0002-A-056-R2000-T3-B1,2000,3,1,176,0,97,192,50,41,False,5,5,181,173,201,5,41,41,44
FP1-EXP0002-A-057-R2000-T3-B2,2000,3,2,158,0,89,201,46,41,False,6,6,196,181,238,6,41,41,44
FP1-EXP0002-A-058-R2000-T3-B3,2000,3,3,137,0,80,238,40,41,False,6,6,219,196,241,6,42,41,331
FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,114,0,68,201,33,331,True,6,6,201,181,241,6,331,41,331
FP1-EXP0002-A-060-R2000-T3-B9,2000,3,9,85,0,55,241,25,331,False,5,5,241,196,241,5,331,331,331
FP1-EXP0002-A-061-R2000-T5-B1,2000,5,1,163,0,89,201,47,44,False,5,5,201,181,238,5,44,41,297
FP1-EXP0002-A-062-R2000-T5-B2,2000,5,2,149,0,84,238,43,44,False,6,6,201,201,241,6,44,41,297
FP1-EXP0002-A-063-R2000-T5-B3,2000,5,3,133,0,79,241,39,44,False,6,6,238,201,241,6,44,41,331
FP1-EXP0002-A-064-R2000-T5-B5,2000,5,5,114,0,68,201,33,331,True,6,6,201,181,241,6,314,44,331
FP1-EXP0002-A-065-R2000-T5-B9,2000,5,9,85,0,55,241,25,331,False,5,5,241,196,241,5,331,331,331
FP1-EXP0002-A-066-R2000-T7-B1,2000,7,1,148,0,83,238,43,297,True,5,5,201,173,241,5,44,41,44
FP1-EXP0002-A-067-R2000-T7-B2,2000,7,2,139,0,80,201,40,44,False,6,6,238,173,241,6,44,41,297
FP1-EXP0002-A-068-R2000-T7-B3,2000,7,3,127,0,76,238,37,44,False,6,6,201,181,241,6,42,33,297
FP1-EXP0002-A-069-R2000-T7-B5,2000,7,5,111,0,67,201,32,297,False,6,6,219,173,241,6,209,44,331
FP1-EXP0002-A-070-R2000-T7-B9,2000,7,9,85,0,55,241,25,331,False,5,5,241,196,250,5,331,297,331
FP1-EXP0002-A-071-R2000-T24-B1,2000,24,1,86,0,52,241,28,41,False,4,4,239,196,250,4,44,41,297
FP1-EXP0002-A-072-R2000-T24-B2,2000,24,2,86,0,52,241,28,41,False,5,5,241,196,250,5,44,33,44
FP1-EXP0002-A-073-R2000-T24-B3,2000,24,3,85,0,51,241,28,33,False,5,5,241,181,241,5,41,41,44
FP1-EXP0002-A-074-R2000-T24-B5,2000,24,5,82,0,49,241,27,44,False,5,5,241,181,250,5,74,33,297
FP1-EXP0002-A-075-R2000-T24-B9,2000,24,9,71,0,45,250,23,297,False,4,4,241,238,250,4,297,44,331
FP1-EXP0002-A-076-R3000-T2-B1,3000,2,1,156,0,84,133,46,44,False,4,4,181,173,196,4,44,41,331
FP1-EXP0002-A-077-R3000-T2-B2,3000,2,2,139,0,77,181,42,44,False,5,5,196,133,238,5,44,41,331
FP1-EXP0002-A-078-R3000-T2-B3,3000,2,3,121,0,70,196,37,44,False,5,5,196,181,238,5,44,41,331
FP1-EXP0002-A-079-R3000-T2-B5,3000,2,5,100,0,59,181,31,331,False,5,5,196,181,201,5,331,44,331
FP1-EXP0002-A-080-R3000-T2-B9,3000,2,9,77,0,48,196,24,331,False,4,4,217,181,241,4,331,331,390
FP1-EXP0002-A-081-R3000-T3-B1,3000,3,1,154,0,81,173,46,44,False,5,5,181,133,196,5,44,41,331
FP1-EXP0002-A-082-R3000-T3-B2,3000,3,2,138,0,76,181,42,44,False,6,6,198,173,238,6,44,41,331
FP1-EXP0002-A-083-R3000-T3-B3,3000,3,3,121,0,70,196,37,44,False,6,6,198,181,238,6,44,41,331
FP1-EXP0002-A-084-R3000-T3-B5,3000,3,5,100,0,59,181,31,331,False,6,6,196,181,201,6,331,44,331
FP1-EXP0002-A-085-R3000-T3-B9,3000,3,9,77,0,48,196,24,331,False,5,5,196,181,241,5,331,331,390
FP1-EXP0002-A-086-R3000-T5-B1,3000,5,1,145,0,78,181,43,297,False,5,5,196,173,201,5,44,44,297
FP1-EXP0002-A-087-R3000-T5-B2,3000,5,2,131,0,73,201,39,297,False,6,6,191,173,238,6,44,44,297
FP1-EXP0002-A-088-R3000-T5-B3,3000,5,3,117,0,69,201,36,44,False,6,6,198,181,241,6,170,41,331
FP1-EXP0002-A-089-R3000-T5-B5,3000,5,5,100,0,59,181,31,331,False,6,6,196,173,201,6,314,44,331
FP1-EXP0002-A-090-R3000-T5-B9,3000,5,9,77,0,48,196,24,331,False,5,5,196,181,241,5,331,331,390
FP1-EXP0002-A-091-R3000-T7-B1,3000,7,1,135,0,75,173,41,44,False,5,5,196,173,238,5,297,44,297
FP1-EXP0002-A-092-R3000-T7-B2,3000,7,2,127,0,72,173,39,44,False,6,6,198,173,201,6,44,41,297
FP1-EXP0002-A-093-R3000-T7-B3,3000,7,3,115,0,68,181,36,41,False,6,6,191,173,238,6,44,41,297
FP1-EXP0002-A-094-R3000-T7-B5,3000,7,5,99,0,59,173,31,297,False,6,6,188,181,201,6,297,41,331
FP1-EXP0002-A-095-R3000-T7-B9,3000,7,9,77,0,48,196,24,331,False,5,5,238,173,241,5,331,297,390
FP1-EXP0002-A-096-R3000-T24-B1,3000,24,1,77,0,43,196,25,44,False,4,4,196,173,241,4,44,41,238
FP1-EXP0002-A-097-R3000-T24-B2,3000,24,2,77,0,43,196,25,44,False,5,5,196,173,241,5,44,41,238
FP1-EXP0002-A-098-R3000-T24-B3,3000,24,3,76,0,42,181,25,41,False,5,5,196,181,241,5,44,33,238
FP1-EXP0002-A-099-R3000-T24-B5,3000,24,5,73,0,40,181,24,44,False,5,5,196,173,241,5,122,41,297
FP1-EXP0002-A-100-R3000-T24-B9,3000,24,9,65,0,38,238,22,297,False,4,4,217,181,250,4,297,44,331
FP1-EXP0002-A-101-R5000-T2-B1,5000,2,1,110,0,54,196,29,331,False,4,4,217,133,238,4,314,44,331
FP1-EXP0002-A-102-R5000-T2-B2,5000,2,2,96,0,50,238,25,331,True,5,5,238,181,241,5,297,44,331
FP1-EXP0002-A-103-R5000-T2-B3,5000,2,3,85,0,47,238,23,297,False,5,5,238,196,238,5,297,44,331
FP1-EXP0002-A-104-R5000-T2-B5,5000,2,5,73,0,39,196,21,297,False,5,5,201,181,238,5,297,297,390
FP1-EXP0002-A-105-R5000-T2-B9,5000,2,9,58,0,36,238,19,390,True,4,4,217,196,238,4,360,297,390
FP1-EXP0002-A-106-R5000-T3-B1,5000,3,1,110,0,54,196,29,331,False,5,5,196,173,238,5,297,44,331
FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,96,0,50,238,25,331,True,6,6,238,181,241,6,297,44,331
FP1-EXP0002-A-108-R5000-T3-B3,5000,3,3,85,0,47,238,23,297,False,6,6,219,196,238,6,297,44,331
FP1-EXP0002-A-109-R5000-T3-B5,5000,3,5,73,0,39,196,21,297,False,6,6,198,181,238,6,297,297,390
FP1-EXP0002-A-110-R5000-T3-B9,5000,3,9,58,0,36,238,19,390,True,5,5,238,196,238,5,390,297,390
