parameter_set_id,combo_index,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,complete_5m_mfe_p50_bps,complete_5m_mae_p50_bps,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,1679,-5517,127,181,67,44,True
FP1-EXP0002-A-002-R500-T2-B2,2,500,2,2,3901,205,3663,33,0,0,205,3901,110,-350,340,1007,113,-815,196,1177,61,-1153,44,1142,20,-3054,5,4048,18,-4501,-2376,4192,6,-8571,-6374,-2342,6,1266,-7266,113,196,61,44,True
FP1-EXP0002-A-003-R500-T2-B3,3,500,2,3,3901,174,3709,18,0,0,174,3901,101,-288,340,890,99,-351,196,983,53,-586,44,869,17,-3054,5,2965,15,-4501,-2376,4192,4,-8235,-3863,-2342,4,1266,-5517,99,196,53,44,False
FP1-EXP0002-A-004-R500-T2-B5,4,500,2,5,3901,140,3754,7,0,0,140,3901,88,-113,315,726,83,-351,152,721,44,-283,122,811,15,-2746,900,4048,12,-3839,-2376,1730,4,-8364,-3863,-2342,4,1266,-5517,83,152,44,122,False
FP1-EXP0002-A-005-R500-T2-B9,5,500,2,9,3901,105,3794,2,0,0,105,3901,74,0,350,790,67,-200,201,1012,35,-186,297,811,11,-3054,5,7333,8,-3839,-253,4192,2,-3863,-3863,-2342,2,0,-3863,67,201,35,297,False
FP1-EXP0002-A-006-R500-T3-B1,6,500,3,1,3901,223,3633,45,0,0,223,3901,116,-449,302,902,122,-906,152,1030,66,-1280,44,872,26,-3054,-253,4048,24,-4501,-1958,2808,10,-8571,-6374,-2833,10,1266,-7266,122,152,66,44,False
FP1-EXP0002-A-007-R500-T3-B2,7,500,3,2,3901,203,3666,32,0,0,203,3901,108,-350,340,987,112,-815,194,1030,61,-1052,44,872,20,-3054,5,4048,18,-4501,-2376,4192,6,-8571,-6374,-2342,6,1266,-7266,112,194,61,44,False
FP1-EXP0002-A-008-R500-T3-B3,8,500,3,3,3901,174,3709,18,0,0,174,3901,101,-288,340,890,99,-351,196,983,53,-586,44,869,17,-3054,5,2965,15,-4501,-2376,4192,4,-8235,-3863,-2342,4,1266,-5517,99,196,53,44,False
FP1-EXP0002-A-009-R500-T3-B5,9,500,3,5,3901,140,3754,7,0,0,140,3901,88,-113,315,726,83,-351,152,721,44,-283,122,811,15,-2746,900,4048,12,-3839,-2376,1730,4,-8364,-3863,-2342,4,1266,-5517,83,152,44,122,False
FP1-EXP0002-A-010-R500-T3-B9,10,500,3,9,3901,105,3794,2,0,0,105,3901,74,0,350,790,67,-200,201,1012,35,-186,297,811,11,-3054,5,7333,8,-3839,-253,4192,2,-3863,-3863,-2342,2,0,-3863,67,201,35,297,False
FP1-EXP0002-A-011-R500-T5-B1,11,500,5,1,3901,202,3664,35,0,0,202,3901,107,-281,334,1007,106,-691,192,983,60,-586,309,872,24,-3054,5,4048,22,-3839,-1403,4192,10,-8571,-6374,-2833,10,1266,-7266,106,192,60,309,True
FP1-EXP0002-A-012-R500-T5-B2,12,500,5,2,3901,188,3688,25,0,0,188,3901,104,-281,334,890,101,-402,196,983,55,-583,309,1142,18,-2746,900,5462,16,-3839,-1958,4192,6,-8571,-6374,-2342,6,1266,-7266,101,196,55,309,True
FP1-EXP0002-A-013-R500-T5-B3,13,500,5,3,3901,167,3717,17,0,0,167,3901,97,-281,334,726,94,-350,196,923,49,-298,297,869,16,-3054,5,2965,14,-3839,-2376,4192,4,-8235,-3863,-2342,4,1266,-5517,94,196,49,297,False
FP1-EXP0002-A-014-R500-T5-B5,14,500,5,5,3901,140,3754,7,0,0,140,3901,88,-113,315,726,83,-351,152,721,44,-283,122,811,15,-2746,900,4048,12,-3839,-2376,1730,4,-8364,-3863,-2342,4,1266,-5517,83,152,44,122,False
FP1-EXP0002-A-015-R500-T5-B9,15,500,5,9,3901,105,3794,2,0,0,105,3901,74,0,350,790,67,-200,201,1012,35,-186,297,811,11,-3054,5,7333,8,-3839,-253,4192,2,-3863,-3863,-2342,2,0,-3863,67,201,35,297,False
FP1-EXP0002-A-016-R500-T7-B1,16,500,7,1,3901,178,3695,28,0,0,178,3901,98,-94,350,1092,97,-402,181,1012,53,-583,44,811,20,-3686,-253,4048,17,-3839,-1958,4192,7,-6374,-4555,-2342,7,2780,-5517,97,181,53,44,False
FP1-EXP0002-A-017-R500-T7-B2,17,500,7,2,3901,170,3708,23,0,0,170,3901,95,-94,358,1092,94,-402,154,983,50,-583,41,811,17,-3054,5,4048,14,-3839,-2376,4192,5,-6374,-3863,-2342,5,1266,-5517,94,154,50,41,False
FP1-EXP0002-A-018-R500-T7-B3,18,500,7,3,3901,157,3726,18,0,0,157,3901,93,-113,340,890,91,-402,181,983,47,-583,41,807,16,-3686,-253,2818,13,-3839,-2376,11,4,-8235,-3863,-2342,4,1266,-5517,91,181,47,41,False
FP1-EXP0002-A-019-R500-T7-B5,19,500,7,5,3901,138,3756,7,0,0,138,3901,88,-113,334,726,83,-351,152,865,43,-286,74,602,15,-3054,5,4048,11,-3839,-2376,1730,4,-8364,-3863,-2342,4,1266,-5517,83,152,43,74,False
FP1-EXP0002-A-020-R500-T7-B9,20,500,7,9,3901,105,3794,2,0,0,105,3901,74,0,350,790,67,-200,201,1012,35,-186,297,811,11,-3054,5,7333,8,-3839,-253,4192,2,-3863,-3863,-2342,2,0,-3863,67,201,35,297,False
FP1-EXP0002-A-021-R500-T24-B1,21,500,24,1,3901,100,3795,6,0,0,100,3901,65,8,315,726,58,-152,238,865,33,-569,41,546,10,-5798,-253,4048,7,-4375,-253,7115,2,-6374,-6374,3614,2,12168,-7266,58,238,33,41,False
FP1-EXP0002-A-022-R500-T24-B2,22,500,24,2,3901,100,3795,6,0,0,100,3901,65,8,315,726,58,-152,238,865,33,-569,41,546,10,-5798,-253,4048,7,-4375,-253,7115,2,-6374,-6374,3614,2,12168,-7266,58,238,33,41,False
FP1-EXP0002-A-023-R500-T24-B3,23,500,24,3,3901,99,3797,5,0,0,99,3901,64,0,264,643,57,-186,196,721,32,-621,33,529,10,-5798,-253,3755,7,-4375,-253,7115,2,-8235,-8235,3614,2,12168,-8458,57,196,32,33,False
FP1-EXP0002-A-024-R500-T24-B5,24,500,24,5,3901,94,3804,3,0,0,94,3901,63,0,308,710,55,-152,196,721,32,-484,44,529,9,-2581,-10,4048,6,-2446,-253,4192,2,-8364,-8364,3614,2,12143,-8971,55,196,32,44,False
FP1-EXP0002-A-025-R500-T24-B9,25,500,24,9,3901,83,3816,2,0,0,83,3901,58,26,358,790,51,-16,238,983,28,-253,74,602,6,-253,-10,7333,4,-253,4192,7115,0,,,,0,,,51,238,28,74,False
FP1-EXP0002-A-026-R1500-T2-B1,26,1500,2,1,3901,196,3662,43,0,0,196,3901,105,-382,261,1007,108,-1445,152,1215,56,-1767,33,872,25,-2746,-253,4048,23,-4323,-1403,4192,10,-8571,-6374,-2342,10,1266,-7266,108,152,56,33,False
FP1-EXP0002-A-027-R1500-T2-B2,27,1500,2,2,3901,175,3696,30,0,0,175,3901,95,-356,264,1007,97,-815,196,1345,51,-1280,41,1142,19,-2746,900,5462,17,-3839,-1958,4192,6,-8571,-6374,-2342,6,1266,-7266,97,196,51,41,False
FP1-EXP0002-A-028-R1500-T2-B3,28,1500,2,3,3901,150,3734,17,0,0,150,3901,90,-288,261,890,87,-402,238,1345,45,-728,41,869,16,-3686,5,2965,14,-3839,-2376,4192,4,-8235,-3863,-2342,4,1266,-5517,87,238,45,41,False
FP1-EXP0002-A-029-R1500-T2-B5,29,1500,2,5,3901,122,3773,6,0,0,122,3901,80,-114,261,643,73,-200,201,923,37,-253,297,869,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,1266,-5517,73,201,37,297,False
FP1-EXP0002-A-030-R1500-T2-B9,30,1500,2,9,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,60,241,29,331,True
FP1-EXP0002-A-031-R1500-T3-B1,31,1500,3,1,3901,191,3671,39,0,0,191,3901,101,-382,261,1007,104,-1147,181,1345,55,-1767,41,1142,24,-3686,-253,4048,22,-4323,-1958,4192,9,-8571,-6374,-3863,9,1266,-7266,104,181,55,41,False
FP1-EXP0002-A-032-R1500-T3-B2,32,1500,3,2,3901,173,3699,29,0,0,173,3901,94,-288,264,1007,96,-815,196,1345,51,-1280,41,1142,19,-2746,900,5462,17,-3839,-1958,4192,6,-8571,-6374,-2342,6,1266,-7266,96,196,51,41,False
FP1-EXP0002-A-033-R1500-T3-B3,33,1500,3,3,3901,150,3734,17,0,0,150,3901,90,-288,261,890,87,-402,238,1345,45,-728,41,869,16,-3686,5,2965,14,-3839,-2376,4192,4,-8235,-3863,-2342,4,1266,-5517,87,238,45,41,False
FP1-EXP0002-A-034-R1500-T3-B5,34,1500,3,5,3901,122,3773,6,0,0,122,3901,80,-114,261,643,73,-200,201,923,37,-253,297,869,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,1266,-5517,73,201,37,297,False
FP1-EXP0002-A-035-R1500-T3-B9,35,1500,3,9,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,60,241,29,331,True
FP1-EXP0002-A-036-R1500-T5-B1,36,1500,5,1,3901,176,3691,34,0,0,176,3901,93,-84,308,1089,95,-744,201,1508,51,-1280,44,1142,22,-3686,-253,4048,20,-4323,-1958,4192,8,-8571,-6374,-3863,8,0,-7266,95,201,51,44,True
FP1-EXP0002-A-037-R1500-T5-B2,37,1500,5,2,3901,162,3714,25,0,0,162,3901,90,-84,308,1089,90,-461,238,1508,47,-1052,44,1142,17,-2746,900,4048,15,-3839,-1958,7115,5,-6374,-3863,-2342,5,1266,-5517,90,238,47,44,True
FP1-EXP0002-A-038-R1500-T5-B3,38,1500,5,3,3901,145,3740,16,0,0,145,3901,87,-114,308,1089,85,-212,241,1345,43,-586,44,872,15,-2746,900,3755,13,-2772,-1958,4192,4,-8235,-3863,-2342,4,1266,-5517,85,241,43,44,True
FP1-EXP0002-A-039-R1500-T5-B5,39,1500,5,5,3901,122,3773,6,0,0,122,3901,80,-114,261,643,73,-200,201,923,37,-253,297,869,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,1266,-5517,73,201,37,297,False
FP1-EXP0002-A-040-R1500-T5-B9,40,1500,5,9,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,60,241,29,331,True
FP1-EXP0002-A-041-R1500-T7-B1,41,1500,7,1,3901,157,3720,24,0,0,157,3901,89,0,358,1092,89,-402,201,1221,46,-586,44,872,19,-3686,5,4456,16,-3839,-1958,4192,6,-6208,-4555,-2342,6,2780,-5517,89,201,46,44,False
FP1-EXP0002-A-042-R1500-T7-B2,42,1500,7,2,3901,148,3734,19,0,0,148,3901,86,0,358,1092,86,-402,196,1215,43,-586,44,872,16,-3686,5,4048,13,-2772,-1958,4192,4,-6374,-3863,-2342,4,1266,-5517,86,196,43,44,False
FP1-EXP0002-A-043-R1500-T7-B3,43,1500,7,3,3901,136,3750,15,0,0,136,3901,84,-84,315,1089,82,-350,201,1215,40,-586,41,811,15,-3686,5,3755,12,-3839,-2376,11,4,-8235,-3863,-2342,4,1266,-5517,82,201,40,41,False
FP1-EXP0002-A-044-R1500-T7-B5,44,1500,7,5,3901,119,3776,6,0,0,119,3901,79,-114,264,662,72,-212,196,923,36,-286,122,811,14,-2746,5,4048,10,-2772,-2376,1730,4,-8364,-3863,-2342,4,1266,-5517,72,196,36,122,False
FP1-EXP0002-A-045-R1500-T7-B9,45,1500,7,9,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,60,241,29,331,True
FP1-EXP0002-A-046-R1500-T24-B1,46,1500,24,1,3901,90,3806,5,0,0,90,3901,61,26,358,710,55,-106,250,1215,30,-586,44,826,10,-5798,-253,4048,7,-4375,-253,7115,2,-6374,-6374,3614,2,12168,-7266,55,250,30,44,True
FP1-EXP0002-A-047-R1500-T24-B2,47,1500,24,2,3901,90,3806,5,0,0,90,3901,61,26,358,710,55,-106,250,1215,30,-586,44,826,10,-5798,-253,4048,7,-4375,-253,7115,2,-6374,-6374,3614,2,12168,-7266,55,250,30,44,True
FP1-EXP0002-A-048-R1500-T24-B3,48,1500,24,3,3901,89,3808,4,0,0,89,3901,60,8,308,631,54,-106,241,865,30,-621,41,529,10,-5798,-253,3755,7,-4375,-253,7115,2,-8235,-8235,3614,2,12168,-8458,54,241,30,41,False
FP1-EXP0002-A-049-R1500-T24-B5,49,1500,24,5,3901,86,3813,2,0,0,86,3901,60,8,308,631,52,-106,241,721,29,-484,74,529,9,-2581,-10,4048,6,-2446,-253,4192,2,-8364,-8364,3614,2,12143,-8971,52,241,29,74,False
FP1-EXP0002-A-050-R1500-T24-B9,50,1500,24,9,3901,75,3825,1,0,0,75,3901,55,31,371,790,48,0,250,1215,25,-253,297,869,6,-253,-10,7333,4,-253,4192,7115,0,,,,0,,,48,250,25,297,True
FP1-EXP0002-A-051-R2000-T2-B1,51,2000,2,1,3901,179,3682,40,0,0,179,3901,97,-382,261,1089,101,-1445,181,1215,51,-1767,41,1142,24,-2746,-253,4048,22,-3839,-1403,4192,10,-8571,-6374,-2342,10,1266,-7266,101,181,51,41,False
FP1-EXP0002-A-052-R2000-T2-B2,52,2000,2,2,3901,159,3714,28,0,0,159,3901,87,-356,264,1089,90,-842,196,1345,46,-1280,41,1142,18,-2376,900,5462,16,-3839,-1958,4192,6,-8571,-6374,-2342,6,1266,-7266,90,196,46,41,False
FP1-EXP0002-A-053-R2000-T2-B3,53,2000,2,3,3901,137,3747,17,0,0,137,3901,82,-288,261,890,80,-402,238,1215,40,-1052,41,869,15,-2746,900,3755,13,-2772,-1958,4192,4,-8235,-3863,-2342,4,1266,-5517,80,238,40,41,False
FP1-EXP0002-A-054-R2000-T2-B5,54,2000,2,5,3901,114,3782,5,0,0,114,3901,74,-114,261,662,68,-350,201,865,33,-253,331,872,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,1266,-5517,68,201,33,331,True
FP1-EXP0002-A-055-R2000-T2-B9,55,2000,2,9,3901,85,3816,0,0,0,85,3901,63,0,315,1089,55,-350,241,1345,25,5,331,872,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,55,241,25,331,False
FP1-EXP0002-A-056-R2000-T3-B1,56,2000,3,1,3901,176,3688,37,0,0,176,3901,93,-382,261,1089,97,-1147,192,1345,50,-1767,41,1142,23,-2746,5,5462,21,-3839,-1403,4192,9,-8571,-6374,-3863,9,1266,-7266,97,192,50,41,False
FP1-EXP0002-A-057-R2000-T3-B2,57,2000,3,2,3901,158,3716,27,0,0,158,3901,86,-288,264,1089,89,-815,201,1345,46,-1280,41,1142,18,-2376,900,5462,16,-3839,-1958,4192,6,-8571,-6374,-2342,6,1266,-7266,89,201,46,41,False
FP1-EXP0002-A-058-R2000-T3-B3,58,2000,3,3,3901,137,3747,17,0,0,137,3901,82,-288,261,890,80,-402,238,1215,40,-1052,41,869,15,-2746,900,3755,13,-2772,-1958,4192,4,-8235,-3863,-2342,4,1266,-5517,80,238,40,41,False
FP1-EXP0002-A-059-R2000-T3-B5,59,2000,3,5,3901,114,3782,5,0,0,114,3901,74,-114,261,662,68,-350,201,865,33,-253,331,872,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,1266,-5517,68,201,33,331,True
FP1-EXP0002-A-060-R2000-T3-B9,60,2000,3,9,3901,85,3816,0,0,0,85,3901,63,0,315,1089,55,-350,241,1345,25,5,331,872,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,55,241,25,331,False
FP1-EXP0002-A-061-R2000-T5-B1,61,2000,5,1,3901,163,3707,31,0,0,163,3901,86,-114,308,1092,89,-800,201,1345,47,-1737,44,1142,22,-3686,-253,4048,20,-4323,-1958,4192,8,-8571,-6374,-3863,8,0,-7266,89,201,47,44,False
FP1-EXP0002-A-062-R2000-T5-B2,62,2000,5,2,3901,149,3730,22,0,0,149,3901,83,-114,315,1092,84,-744,238,1345,43,-1280,44,1142,17,-2746,900,4048,15,-3839,-1958,7115,5,-6374,-3863,-2342,5,1266,-5517,84,238,43,44,False
FP1-EXP0002-A-063-R2000-T5-B3,63,2000,5,3,3901,133,3753,15,0,0,133,3901,80,-281,264,890,79,-350,241,1345,39,-728,44,872,15,-2746,900,3755,13,-2772,-1958,4192,4,-8235,-3863,-2342,4,1266,-5517,79,241,39,44,False
FP1-EXP0002-A-064-R2000-T5-B5,64,2000,5,5,3901,114,3782,5,0,0,114,3901,74,-114,261,662,68,-350,201,865,33,-253,331,872,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,1266,-5517,68,201,33,331,True
FP1-EXP0002-A-065-R2000-T5-B9,65,2000,5,9,3901,85,3816,0,0,0,85,3901,63,0,315,1089,55,-350,241,1345,25,5,331,872,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,55,241,25,331,False
FP1-EXP0002-A-066-R2000-T7-B1,66,2000,7,1,3901,148,3733,20,0,0,148,3901,82,0,358,1119,83,-402,238,1345,43,-1052,297,1271,19,-3686,5,4456,16,-3839,-1958,4192,6,-6208,-4555,-2342,6,2780,-5517,83,238,43,297,True
FP1-EXP0002-A-067-R2000-T7-B2,67,2000,7,2,3901,139,3747,15,0,0,139,3901,79,0,378,1119,80,-402,201,1215,40,-1052,44,872,16,-3686,5,4048,13,-2772,-1958,4192,4,-6374,-3863,-2342,4,1266,-5517,80,201,40,44,False
FP1-EXP0002-A-068-R2000-T7-B3,68,2000,7,3,3901,127,3761,13,0,0,127,3901,77,-84,315,1089,76,-350,238,1215,37,-586,44,869,15,-3686,5,3755,12,-3839,-2376,11,4,-8235,-3863,-2342,4,1266,-5517,76,238,37,44,False
