parameter_set_id,combo_index,a_role,a_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0003-B-062-ROBUST_2-R2000-T3-U5-PD6000-6500,62,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,6000,6500,3901,4,3825,72,0,0,4,3901,3,-106,677,1022,4,-1478,-106,1020,2,-4368,-4368,543,2,-5798,-5798,-4043,1,-9123,-9123,-9123,1,-8588,-8588,-8588,1,4,-106,2,-4368,False
FP1-EXP0003-B-063-ROBUST_2-R2000-T3-U5-PD6000-9000,63,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,6000,9000,3901,24,3871,6,0,0,24,3901,14,-106,238,610,14,-106,559,1352,9,-835,238,543,4,-5798,-4043,-1513,3,-9123,4087,14761,1,-8588,-8588,-8588,1,14,559,9,238,True
FP1-EXP0003-B-064-ROBUST_3-R5000-T3-U2-PD1000-3500,64,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,1000,3500,3901,59,3716,126,0,0,59,3901,36,-804,79,1095,33,-461,181,1012,12,22,297,529,4,-7333,4048,7437,2,4192,4192,48822,1,-6374,-6374,-6374,1,33,181,12,297,False
FP1-EXP0003-B-065-ROBUST_3-R5000-T3-U2-PD1000-5500,65,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,1000,5500,3901,80,3743,78,0,0,80,3901,47,-449,264,1119,44,-153,201,2395,22,-253,331,2378,12,-2376,2818,7333,9,-1958,1763,7115,3,-8869,-6374,-2342,3,44,201,22,331,False
FP1-EXP0003-B-066-ROBUST_3-R5000-T3-U2-PD1000-6000,66,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,1000,6000,3901,82,3750,69,0,0,82,3901,47,-449,264,1119,44,-153,201,2395,22,-253,331,2378,12,-2376,2818,7333,9,-1958,1763,7115,3,-8869,-6374,-2342,3,44,201,22,331,False
FP1-EXP0003-B-067-ROBUST_3-R5000-T3-U2-PD1000-6500,67,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,1000,6500,3901,84,3759,58,0,0,84,3901,47,-449,264,1119,45,-135,238,2583,22,-253,331,2378,12,-2376,2818,7333,9,-1958,1763,7115,3,-8869,-6374,-2342,3,45,238,22,331,False
FP1-EXP0003-B-068-ROBUST_3-R5000-T3-U2-PD1000-9000,68,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,1000,9000,3901,96,3789,16,0,0,96,3901,51,-356,308,1119,50,-135,238,2583,25,-253,331,1271,12,-2376,2818,7333,9,-1958,1763,7115,3,-8869,-6374,-2342,3,50,238,25,331,True
FP1-EXP0003-B-069-ROBUST_3-R5000-T3-U2-PD2500-3500,69,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,2500,3500,3901,19,3727,155,0,0,19,3901,11,26,631,2148,13,-152,150,2148,7,22,2378,5374,3,4048,7437,11783,2,4192,4192,48822,1,-6374,-6374,-6374,1,13,150,7,2378,True
FP1-EXP0003-B-070-ROBUST_3-R5000-T3-U2-PD2500-5500,70,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,2500,5500,3901,45,3759,97,0,0,45,3901,25,26,443,1910,27,-153,154,2909,19,-621,529,3560,11,-253,4048,7437,9,-1958,1763,7115,3,-8869,-6374,-2551,3,27,154,19,529,False
FP1-EXP0003-B-071-ROBUST_3-R5000-T3-U2-PD2500-6000,71,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,2500,6000,3901,48,3768,85,0,0,48,3901,25,26,443,1910,27,-153,154,2909,19,-621,529,3560,11,-253,4048,7437,9,-1958,1763,7115,3,-8869,-6374,-2551,3,27,154,19,529,False
FP1-EXP0003-B-072-ROBUST_3-R5000-T3-U2-PD2500-6500,72,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,2500,6500,3901,52,3779,70,0,0,52,3901,26,26,443,1910,29,-153,154,2909,19,-621,529,3560,11,-253,4048,7437,9,-1958,1763,7115,3,-8869,-6374,-2551,3,29,154,19,529,True
FP1-EXP0003-B-073-ROBUST_3-R5000-T3-U2-PD2500-9000,73,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,2500,9000,3901,67,3815,19,0,0,67,3901,33,26,443,890,38,-375,196,2764,24,-810,392,2378,11,-253,4048,7437,9,-1958,1763,7115,3,-8869,-6374,-2551,3,38,196,24,392,False
FP1-EXP0003-B-074-ROBUST_3-R5000-T3-U2-PD3000-3500,74,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,3000,3500,3901,8,3730,163,0,0,8,3901,4,-780,84,2010,6,-1175,-153,247,3,-1004,22,2519,0,,,,0,,,,0,,,,0,6,-153,3,22,False
FP1-EXP0003-B-075-ROBUST_3-R5000-T3-U2-PD3000-5500,75,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,3000,5500,3901,35,3762,104,0,0,35,3901,19,5,443,1910,20,-796,36,2557,14,-1004,22,2519,8,-2584,1121,4456,7,-2584,-253,7115,2,-8869,-8869,-2551,2,20,36,14,22,False
FP1-EXP0003-B-076-ROBUST_3-R5000-T3-U2-PD3000-6000,76,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,3000,6000,3901,39,3771,91,0,0,39,3901,19,5,443,1910,20,-796,36,2557,14,-1004,22,2519,8,-2584,1121,4456,7,-2584,-253,7115,2,-8869,-8869,-2551,2,20,36,14,22,False
FP1-EXP0003-B-077-ROBUST_3-R5000-T3-U2-PD3000-6500,77,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,3000,6500,3901,43,3785,73,0,0,43,3901,20,5,443,816,23,-796,154,2764,15,-1004,517,2519,9,-2584,1121,4456,8,-2772,-1958,1763,3,-8869,-8588,-2551,3,23,154,15,517,False
FP1-EXP0003-B-078-ROBUST_3-R5000-T3-U2-PD3000-9000,78,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,3000,9000,3901,61,3821,19,0,0,61,3901,28,5,396,816,33,-796,196,2557,21,-1004,238,1271,9,-2584,1121,4456,8,-2772,-1958,1763,3,-8869,-8588,-2551,3,33,196,21,238,False
FP1-EXP0003-B-079-ROBUST_3-R5000-T3-U2-PD4000-5500,79,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,4000,5500,3901,23,3769,109,0,0,23,3901,12,5,447,816,10,-736,36,517,8,-2118,-253,1271,5,-253,1121,4456,5,-2584,-253,1763,2,-8869,-8869,-2551,2,10,36,8,-253,False
FP1-EXP0003-B-080-ROBUST_3-R5000-T3-U2-PD4000-6000,80,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,4000,6000,3901,26,3780,95,0,0,26,3901,13,264,481,1491,11,-736,36,517,9,-810,-171,1271,5,-253,1121,4456,5,-2584,-253,1763,2,-8869,-8869,-2551,2,11,36,9,-171,False
FP1-EXP0003-B-081-ROBUST_3-R5000-T3-U2-PD4000-6500,81,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,4000,6500,3901,32,3794,75,0,0,32,3901,15,5,481,1491,15,-736,36,1352,11,-2118,-171,1271,7,-4043,-253,4456,6,-2772,-2584,1763,3,-8869,-8588,-2551,3,15,36,11,-171,False
FP1-EXP0003-B-082-ROBUST_3-R5000-T3-U2-PD4000-9000,82,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,4000,9000,3901,51,3831,19,0,0,51,3901,23,5,447,890,26,-736,154,1904,17,-1439,-171,543,7,-4043,-253,4456,6,-2772,-2584,1763,3,-8869,-8588,-2551,3,26,154,17,-171,False
FP1-EXP0003-B-083-ROBUST_3-R5000-T3-U2-PD6000-6500,83,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,6000,6500,3901,6,3809,86,0,0,6,3901,3,-106,677,1022,5,-106,1020,1352,2,-4368,-4368,543,2,-5798,-5798,-4043,1,-9123,-9123,-9123,1,-8588,-8588,-8588,1,5,1020,2,-4368,True
FP1-EXP0003-B-084-ROBUST_3-R5000-T3-U2-PD6000-9000,84,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,6000,9000,3901,30,3849,21,1,0,30,3901,14,-39,300,890,18,-1427,238,2559,10,-3418,-835,543,4,-5938,-5798,-4043,3,-9123,-7739,14761,1,-8588,-8588,-8588,1,18,238,10,-835,False
FP1-EXP0003-B-085-ROBUST_4-R5000-T5-U9-PD1000-3500,85,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,1000,3500,3901,43,3791,67,0,0,43,3901,31,-804,81,710,26,-1482,173,865,11,22,297,529,2,-7333,-7333,4048,1,4192,4192,4192,0,,,,0,26,173,11,297,False
FP1-EXP0003-B-086-ROBUST_4-R5000-T5-U9-PD1000-5500,86,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,1000,5500,3901,53,3806,42,0,0,53,3901,41,8,308,710,32,-1147,201,1012,16,22,331,872,6,-2376,-253,4048,4,-2376,-253,4192,1,-2342,-2342,-2342,1,32,201,16,331,False
FP1-EXP0003-B-087-ROBUST_4-R5000-T5-U9-PD1000-6000,87,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,1000,6000,3901,53,3810,38,0,0,53,3901,41,8,308,710,32,-1147,201,1012,16,22,331,872,6,-2376,-253,4048,4,-2376,-253,4192,1,-2342,-2342,-2342,1,32,201,16,331,False
FP1-EXP0003-B-088-ROBUST_4-R5000-T5-U9-PD1000-6500,88,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,1000,6500,3901,54,3817,30,0,0,54,3901,42,8,308,790,33,0,238,1073,17,33,390,1271,7,-2376,2818,7333,5,-253,4192,7115,1,-2342,-2342,-2342,1,33,238,17,390,False
FP1-EXP0003-B-089-ROBUST_4-R5000-T5-U9-PD1000-9000,89,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,1000,9000,3901,58,3843,0,0,0,58,3901,44,8,308,710,36,0,238,1073,19,33,390,1271,7,-2376,2818,7333,5,-253,4192,7115,1,-2342,-2342,-2342,1,36,238,19,390,False
FP1-EXP0003-B-090-ROBUST_4-R5000-T5-U9-PD2500-3500,90,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,2500,3500,3901,11,3801,89,0,0,11,3901,7,26,84,1910,9,-152,123,247,4,-621,22,529,1,4048,4048,4048,1,4192,4192,4192,0,,,,0,9,123,4,22,False
FP1-EXP0003-B-091-ROBUST_4-R5000-T5-U9-PD2500-5500,91,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,2500,5500,3901,26,3819,56,0,0,26,3901,20,5,315,631,18,-736,123,714,11,-621,517,1271,5,-253,2818,4048,4,-2584,-253,4192,1,-2551,-2551,-2551,1,18,123,11,517,False
FP1-EXP0003-B-092-ROBUST_4-R5000-T5-U9-PD2500-6000,92,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,2500,6000,3901,26,3824,51,0,0,26,3901,20,5,315,631,18,-736,123,714,11,-621,517,1271,5,-253,2818,4048,4,-2584,-253,4192,1,-2551,-2551,-2551,1,18,123,11,517,False
FP1-EXP0003-B-093-ROBUST_4-R5000-T5-U9-PD2500-6500,93,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,2500,6500,3901,28,3834,39,0,0,28,3901,22,26,396,790,20,-796,123,714,12,-621,517,1271,6,-253,2818,7333,5,-253,4192,7115,1,-2551,-2551,-2551,1,20,123,12,517,False
FP1-EXP0003-B-094-ROBUST_4-R5000-T5-U9-PD2500-9000,94,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,2500,9000,3901,35,3866,0,0,0,35,3901,27,5,315,677,26,-736,196,1073,16,-621,392,1271,6,-253,2818,7333,5,-253,4192,7115,1,-2551,-2551,-2551,1,26,196,16,392,False
FP1-EXP0003-B-095-ROBUST_4-R5000-T5-U9-PD3000-3500,95,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,3000,3500,3901,5,3803,93,0,0,5,3901,2,84,84,2010,4,-1175,0,247,3,-1004,22,2519,0,,,,0,,,,0,,,,0,4,0,3,22,False
FP1-EXP0003-B-096-ROBUST_4-R5000-T5-U9-PD3000-5500,96,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,3000,5500,3901,21,3822,58,0,0,21,3901,15,5,396,790,13,-736,238,2764,10,-810,22,1271,4,-2584,-253,2818,3,-2584,-253,7115,1,-2551,-2551,-2551,1,13,238,10,22,False
FP1-EXP0003-B-097-ROBUST_4-R5000-T5-U9-PD3000-6000,97,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,3000,6000,3901,21,3827,53,0,0,21,3901,15,5,396,790,13,-736,238,2764,10,-810,22,1271,4,-2584,-253,2818,3,-2584,-253,7115,1,-2551,-2551,-2551,1,13,238,10,22,False
FP1-EXP0003-B-098-ROBUST_4-R5000-T5-U9-PD3000-6500,98,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,3000,6500,3901,23,3838,40,0,0,23,3901,17,84,443,790,15,-796,238,2764,11,-810,517,2519,5,-253,2818,7333,4,-2584,-253,7115,1,-2551,-2551,-2551,1,15,238,11,517,False
FP1-EXP0003-B-099-ROBUST_4-R5000-T5-U9-PD3000-9000,99,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,3000,9000,3901,31,3870,0,0,0,31,3901,23,5,315,677,22,-796,238,1904,16,-835,238,1271,5,-253,2818,7333,4,-2584,-253,7115,1,-2551,-2551,-2551,1,22,238,16,238,False
FP1-EXP0003-B-100-ROBUST_4-R5000-T5-U9-PD4000-5500,100,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,4000,5500,3901,13,3828,60,0,0,13,3901,10,5,315,790,6,-736,0,517,5,-810,-253,517,2,-2584,-2584,-253,2,-2584,-2584,-253,1,-2551,-2551,-2551,1,6,0,5,-253,False
FP1-EXP0003-B-101-ROBUST_4-R5000-T5-U9-PD4000-6000,101,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,4000,6000,3901,14,3833,54,0,0,14,3901,11,5,447,816,7,-736,0,517,6,-810,-253,517,2,-2584,-2584,-253,2,-2584,-2584,-253,1,-2551,-2551,-2551,1,7,0,6,-253,False
FP1-EXP0003-B-102-ROBUST_4-R5000-T5-U9-PD4000-6500,102,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,4000,6500,3901,16,3844,41,0,0,16,3901,13,264,481,816,9,-736,0,517,7,-810,-171,1271,3,-2584,-253,20678,3,-2584,-253,12057,1,-2551,-2551,-2551,1,9,0,7,-171,False
FP1-EXP0003-B-103-ROBUST_4-R5000-T5-U9-PD4000-9000,103,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,4000,9000,3901,24,3877,0,0,0,24,3901,19,5,315,790,16,-1427,196,611,12,-835,-171,517,3,-2584,-253,20678,3,-2584,-253,12057,1,-2551,-2551,-2551,1,16,196,12,-171,False
FP1-EXP0003-B-104-ROBUST_4-R5000-T5-U9-PD6000-6500,104,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,6000,6500,3901,3,3853,45,0,0,3,3901,3,677,1022,1314,3,-1478,1020,1073,1,4120,4120,4120,1,20678,20678,20678,1,12057,12057,12057,0,,,,0,3,1020,1,4120,True
FP1-EXP0003-B-105-ROBUST_4-R5000-T5-U9-PD6000-9000,105,ROBUST_4,FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,6000,9000,3901,12,3889,0,0,0,12,3901,10,62,300,677,10,-1427,238,1073,6,-835,238,1564,1,20678,20678,20678,1,12057,12057,12057,0,,,,0,10,238,6,238,False
