policy_id,policy_fingerprint,family,timeout_origin,timeout_ms,timeout_seconds,tp_bps,sl_bps,trailing_activation_bps,trailing_giveback_bps
TP50_T120S,82cdad0abff2a794de8c561428768712f31ca14af63cd5b86e216ca730844ab2,TP_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,5000,,,
SL10_T15S,d5a27593f824b71a621a2a4e49d03e3799ae9aed42200f472bb145cf60795381,SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,,1000,,
SL10_T30S,0053f6f5a7bd43818ef261ff75f1e2fa9b50a978b877ddba895064c972d320b6,SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,,1000,,
SL10_T60S,f502622622ae4654bb79fbd771105c9cd8be108e1ad6933add3e0d7401dd9ac0,SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,,1000,,
SL10_T120S,729db7ea90114b8a22fa2bfaed4b9996287b220e37c6e5a26ff5387531b4b9ab,SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,,1000,,
SL15_T15S,7ab624f2633c106b6106e61fcfa6d72e664c9bbc2a7071211349eb0c51aa7b84,SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,,1500,,
SL15_T30S,64075b3456b365183205ffe28782d886010ae8d18c07b2605d679382030843b2,SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,,1500,,
SL15_T60S,bd8ac3249df709cf0ba36ccc766481e4e7e38d55c50b0820e22fd68158413d05,SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,,1500,,
SL15_T120S,cb0b9da01ef7a8257a2feb6ef973174d2f37eaf26d4ec2c8c428a5d07a769e79,SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,,1500,,
SL20_T15S,8aef21acba57c56b0560301c34a45de46a340b863c137c8281423b187ba328b8,SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,,2000,,
SL20_T30S,775c3ee1e19df173c224f808cd04fac60f3d1f01236bb19f238e9fcd33ca3ec4,SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,,2000,,
SL20_T60S,40c3fbcde793511ff04345debdc7292d17c8541d4d3edf1a1cc702335b79b260,SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,,2000,,
SL20_T120S,9554ea4b41a016f6ee06390b89bc0ed30bc479838abba85a69462d4912a872a2,SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,,2000,,
SL25_T15S,dfeb2fc75266d56c8237211e08d0fac8cd1c248b96955de7e297627855e2b7ce,SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,,2500,,
SL25_T30S,e3875eb3c91c2171fedf37b9b8de2f4e932b17b7a764cc3daf3f73efbd3a8a16,SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,,2500,,
SL25_T60S,417cf5543a39a13dfd1a33f3410265f0780a38a6eb9cc8582c32ea8d966a3b7a,SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,,2500,,
SL25_T120S,fc2786b1ce781ea77307fd57e4e46fceb0f6308261ebda968f941c902fc931b4,SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,,2500,,
SL30_T15S,68897a3f2c348c0a834edc31317bf8e3b686088a5d79e94d673cb00ae33bf9b8,SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,,3000,,
SL30_T30S,36001f7b4db15769568d40884a2cab8986bed7353ab637af97e1773586792910,SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,,3000,,
SL30_T60S,1ad5e1ac4ff0f920f8a36ee7850da24c7d024a543f43287f1aeb9c06d7668eb4,SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,,3000,,
SL30_T120S,8bc0ae9ee0db30382b0e32f6e9e986ac0e1e460743e81a0dd39ff7ef6d357737,SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,,3000,,
SL40_T15S,4fe68f9e9b5bf5e64ca1dda7a2e3d270a35792c66150db961325674f6b38ab78,SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,,4000,,
