track_id,actual_reason,window_seconds,threshold_bps,eligible_n,reached_n,reached_rate,median_time_to_threshold_ms,small_cell,eligibility_definition
FINAL-B,FALLBACK,30,5000,495,56,0.113131313131,13668.041,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,45,1000,505,224,0.443564356436,9523.094,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,45,1500,505,183,0.362376237624,10952.660,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,45,2000,505,159,0.314851485149,12077.916,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,45,2500,505,140,0.277227722772,13664.073,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,45,3000,505,119,0.235643564356,12561.997,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,45,4000,505,90,0.178217821782,13668.041,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,45,5000,505,71,0.140594059406,15375.040,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,60,1000,507,241,0.475345167653,10328.093,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,60,1500,507,205,0.404339250493,13673.940,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,60,2000,507,181,0.357001972387,14688.841,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,60,2500,507,162,0.319526627219,15613.153,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,60,3000,507,139,0.274161735700,15525.358,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,FALLBACK,60,4000,507,110,0.216962524655,17689.655,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
