policy_id,policy_fingerprint,family,positions,fills,unresolved,fill_rate,unresolved_rate,rejected_slippage_count,rejected_slippage_rate,no_causal_fill_count,no_causal_fill_rate,take_profit_count,stop_loss_count,trail_count,fallback_count,filled_take_profit_count,filled_stop_loss_count,filled_trail_count,filled_fallback_count,gross_execution_pnl_lamports,entry_explicit_cost_lamports,exit_explicit_cost_lamports,total_explicit_cost_lamports,net_pnl_lamports,expectancy_lamports_per_filled_trade,expectancy_denominator,wins,losses,breakevens,win_rate,average_winner_lamports,average_loser_lamports,profit_factor,mean_holding_time_us,median_holding_time_us,p90_holding_time_us,equity_label,final_realized_closed_pnl_lamports,peak_realized_closed_pnl_lamports,max_realized_closed_equity_drawdown_lamports,timeout_origin,timeout_ms,tp_bps,sl_bps,trailing_activation_bps,trailing_giveback_bps
TP10_T120S,43c6a9da0b0a9c75c380ca8183435f520ac38a2fc3e1f94cfbb6e660b5bf8be6,TP_TIMEOUT,635,571,64,0.899212598425,0.100787401575,12,0.018897637795,52,0.081889763780,371,0,0,264,362,0,0,209,2187039070,1344705000,1372043276,2716748276,-529709206,-927686.875657,FILLED,309,262,0,0.541155866900,23666234.954693,-29933495.446565,0.932457241213,174504174.684764,45874825,158840817,REALIZED_CLOSED_EQUITY,-529709206,440747429,1003606312,ENTRY_FILL_CLOCK,120000,1000,,,
TP15_T15S,6f21dc8e95dd6253d4102b872947700215e22e3da8fcca0ed2b123a12f27974e,TP_TIMEOUT,635,607,28,0.955905511811,0.044094488189,15,0.023622047244,13,0.020472440945,162,0,0,473,155,0,0,452,790307689,1429485000,1439364153,2868849153,-2078541464,-3424285.772652,FILLED,221,386,0,0.364085667216,20304596.108597,-17009992.756477,0.683431820184,24483355.588138,18132219,37670425,REALIZED_CLOSED_EQUITY,-2078541464,0,2124371875,ENTRY_FILL_CLOCK,15000,1500,,,
TP15_T30S,d59ee55390a8a4a9fdf5be0ce487bc3fbeb94a3ac03d2ae4fbc260a9da4f12c5,TP_TIMEOUT,635,597,38,0.940157480315,0.059842519685,19,0.029921259843,19,0.029921259843,230,0,0,405,223,0,0,374,1366254010,1405935000,1423013477,2828948477,-1462694467,-2450074.484087,FILLED,250,347,0,0.418760469012,23861097.096000,-21406249.974063,0.803082845661,35483412.656616,32302771,54752734,REALIZED_CLOSED_EQUITY,-1462694467,0,1497998382,ENTRY_FILL_CLOCK,30000,1500,,,
TP15_T60S,a3cd0a9e099b6765f92d9e76c314c188febded6aac63d0e21baba7e74a46cb38,TP_TIMEOUT,635,582,53,0.916535433071,0.083464566929,19,0.029921259843,34,0.053543307087,283,0,0,352,274,0,0,308,1336215853,1370610000,1387312983,2757922983,-1421707130,-2442795.756014,FILLED,279,303,0,0.479381443299,25311974.136201,-27999168.033003,0.832419922844,143141742.295533,61289200,87566377,REALIZED_CLOSED_EQUITY,-1421707130,37119853,1507951132,ENTRY_FILL_CLOCK,60000,1500,,,
TP15_T120S,970115494f88297cc6ae62311f4d462e2ddc2b8998d17e57f6ef9006e8c5b8eb,TP_TIMEOUT,635,556,79,0.875590551181,0.124409448819,18,0.028346456693,61,0.096062992126,325,0,0,310,311,0,0,245,2211836621,1309380000,1337028229,2646408229,-434571608,-781603.611511,FILLED,300,256,0,0.539568345324,26535448.200000,-32793773.703125,0.948235742580,191805514.435252,74258008,167330944,REALIZED_CLOSED_EQUITY,-434571608,244497709,712218994,ENTRY_FILL_CLOCK,120000,1500,,,
TP20_T15S,1ac586e2cf5bd18588858d34ecf3e205f1703c5c8444c26c38d7a10dc78e3c31,TP_TIMEOUT,635,607,28,0.955905511811,0.044094488189,15,0.023622047244,13,0.020472440945,136,0,0,499,131,0,0,476,830337897,1429485000,1439864525,2869349525,-2039011628,-3359162.484349,FILLED,220,387,0,0.362438220758,21201965.695455,-17321560.932817,0.695826264326,25042009.220758,18332240,37670425,REALIZED_CLOSED_EQUITY,-2039011628,0,2092110975,ENTRY_FILL_CLOCK,15000,2000,,,
TP20_T30S,7d53002eec85ff8ede990cfefac11f49bd4cdef631d12aff6de026e07af18236,TP_TIMEOUT,635,597,38,0.940157480315,0.059842519685,18,0.028346456693,20,0.031496062992,185,0,0,450,180,0,0,417,1539607168,1405935000,1425180386,2831115386,-1291508218,-2163330.348409,FILLED,248,349,0,0.415410385260,25572086.165323,-21872165.005731,0.830807941865,36744448.619765,32670205,54881714,REALIZED_CLOSED_EQUITY,-1291508218,0,1334081069,ENTRY_FILL_CLOCK,30000,2000,,,
TP20_T60S,78f8f03ea91a85a642d8bfa906ec9feef78be52d472f0c828bfc8c9e2d082199,TP_TIMEOUT,635,580,55,0.913385826772,0.086614173228,17,0.026771653543,38,0.059842519685,244,0,0,391,237,0,0,343,1933552268,1365900000,1390069679,2755969679,-822417411,-1417961.053448,FILLED,277,303,0,0.477586206897,28755732.548736,-29002492.828383,0.906413255673,146080156.779310,61857362,87566377,REALIZED_CLOSED_EQUITY,-822417411,93568614,972379110,ENTRY_FILL_CLOCK,60000,2000,,,
TP20_T120S,4a39306250374a4dd81774c81c5f25363083dec75040e3d1a64b6c7bc17b8ac0,TP_TIMEOUT,635,552,83,0.869291338583,0.130708661417,16,0.025196850394,67,0.105511811024,292,0,0,343,282,0,0,270,2877567012,1299960000,1335929850,2635889850,241677162,437820.945652,FILLED,294,258,0,0.532608695652,30692534.632653,-34038480.697674,1.027519829524,198405406.382246,111479467,167330944,REALIZED_CLOSED_EQUITY,241677162,831997122,703353345,ENTRY_FILL_CLOCK,120000,2000,,,
TP25_T15S,4b9634cf2d11890c3d02130149089c8946eef54e9843608ee7d632c6974b916c,TP_TIMEOUT,635,610,25,0.960629921260,0.039370078740,12,0.018897637795,13,0.020472440945,108,0,0,527,106,0,0,504,870964995,1436550000,1447437368,2883987368,-2013022373,-3300036.677049,FILLED,216,394,0,0.354098360656,22481728.583333,-17434202.403553,0.706944216785,25392432.450820,18452321,37640465,REALIZED_CLOSED_EQUITY,-2013022373,0,2053637990,ENTRY_FILL_CLOCK,15000,2500,,,
TP25_T30S,f399eb1d341604c7657dffae9f3d0ab0a75393bcbd402622aebb28f284525672,TP_TIMEOUT,635,598,37,0.941732283465,0.058267716535,17,0.026771653543,20,0.031496062992,153,0,0,482,149,0,0,449,1379447459,1408290000,1425533390,2833823390,-1454375931,-2432066.774247,FILLED,235,363,0,0.392976588629,27654790.995745,-21909784.614325,0.817134429435,37997887.759197,32978776,55303670,REALIZED_CLOSED_EQUITY,-1454375931,0,1454375931,ENTRY_FILL_CLOCK,30000,2500,,,
TP25_T60S,2068a07021af05b9df1847538b0f3c0e463126b471cac52601d1df3ba2cc8799,TP_TIMEOUT,635,578,57,0.910236220472,0.089763779528,18,0.028346456693,39,0.061417322835,208,0,0,427,202,0,0,376,1842616199,1361190000,1384222979,2745412979,-902796780,-1561932.145329,FILLED,265,313,0,0.458477508651,31153274.033962,-29260109.900958,0.901424336062,149408180.147059,62627810,88431761,REALIZED_CLOSED_EQUITY,-902796780,33435003,996100526,ENTRY_FILL_CLOCK,60000,2500,,,
TP25_T120S,8862befbdaef20599b2c0d4e1c0109b35b1a933fd225f4955c2fd1f0437bd0f8,TP_TIMEOUT,635,550,85,0.866141732283,0.133858267717,16,0.025196850394,69,0.108661417323,263,0,0,372,254,0,0,296,2721838771,1295250000,1329273251,2624523251,97315520,176937.309091,FILLED,282,268,0,0.512727272727,33789746.553191,-35191764.955224,1.010318255206,206200420.350909,121503482,172425120,REALIZED_CLOSED_EQUITY,97315520,784874135,831885061,ENTRY_FILL_CLOCK,120000,2500,,,
TP30_T15S,095877d533f0e0d03047870a7af532f83affcf423c794b30cb5dcb4a369c4587,TP_TIMEOUT,635,609,26,0.959055118110,0.040944881890,13,0.020472440945,13,0.020472440945,84,0,0,551,82,0,0,527,518425705,1434195000,1440675624,2874870624,-2356444919,-3869367.683087,FILLED,208,401,0,0.341543513957,22464712.240385,-17528940.311721,0.664758899290,26969408.142857,18533877,38104065,REALIZED_CLOSED_EQUITY,-2356444919,0,2400641455,ENTRY_FILL_CLOCK,15000,3000,,,
TP30_T30S,2552cc5b013028e2dc6b0cdd8d7cc1dda200667e90f3e6a2045ec591285d56f7,TP_TIMEOUT,635,598,37,0.941732283465,0.058267716535,16,0.025196850394,21,0.033070866142,122,0,0,513,119,0,0,479,935277462,1408290000,1419981264,2828271264,-1892993802,-3165541.474916,FILLED,225,373,0,0.376254180602,28080510.240000,-22013695.994638,0.769459412507,40171735.630435,33183307,55303670,REALIZED_CLOSED_EQUITY,-1892993802,0,1892993802,ENTRY_FILL_CLOCK,30000,3000,,,
TP30_T60S,532e445cef6b3eb91579cca7ae6756a9f550daa1387c796e8a67d712ab7ab128,TP_TIMEOUT,635,577,58,0.908661417323,0.091338582677,17,0.026771653543,41,0.064566929134,176,0,0,459,171,0,0,406,1329369357,1358835000,1375452393,2734287393,-1404918036,-2434866.613518,FILLED,255,322,0,0.441941074523,31950044.305882,-29665153.211180,0.852921727401,153193138.355286,63014174,91689384,REALIZED_CLOSED_EQUITY,-1404918036,0,1462690570,ENTRY_FILL_CLOCK,60000,3000,,,
TP30_T120S,40cd9052917aea14d953de002ab36cff9249c08f6d1f6e510e0b7b20c9b6a845,TP_TIMEOUT,635,545,90,0.858267716535,0.141732283465,16,0.025196850394,74,0.116535433071,231,0,0,404,224,0,0,321,2151194919,1283475000,1310365195,2593840195,-442645276,-812193.166972,FILLED,270,275,0,0.495412844037,35304767.381481,-36272481.705455,0.955624233309,214329114.326606,122277547,173271789,REALIZED_CLOSED_EQUITY,-442645276,489166010,962869806,ENTRY_FILL_CLOCK,120000,3000,,,
