actor_id,actor_kind,dimension,segment,n,small_cell,fills,unresolved,fill_rate,net_pnl_lamports,expectancy_lamports_per_filled_trade,wins,losses,win_rate,equity_label
TP10_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q1,249,False,234,15,0.939759036145,-400282964,-1710610.957265,99,135,0.423076923077,REALIZED_CLOSED_EQUITY
TP10_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q2,69,False,62,7,0.898550724638,28022995,451983.790323,28,34,0.451612903226,REALIZED_CLOSED_EQUITY
TP10_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q3,159,False,153,6,0.962264150943,-939468281,-6140315.562092,54,99,0.352941176471,REALIZED_CLOSED_EQUITY
TP10_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q4,158,False,152,6,0.962025316456,82868567,545187.940789,77,75,0.506578947368,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,00:00-05:59,207,False,197,10,0.951690821256,232809217,1181772.675127,107,90,0.543147208122,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,06:00-11:59,206,False,179,27,0.868932038835,-896567688,-5008758.033520,86,93,0.480446927374,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,12:00-17:59,93,False,89,4,0.956989247312,-236423806,-2656447.258427,44,45,0.494382022472,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,18:00-23:59,129,False,123,6,0.953488372093,-324489215,-2638123.699187,53,70,0.430894308943,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q1,190,False,178,12,0.936842105263,-530884620,-2982497.865169,99,79,0.556179775281,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q2,132,False,126,6,0.954545454545,-305024074,-2420825.984127,58,68,0.460317460317,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q3,158,False,145,13,0.917721518987,-307931156,-2123663.144828,62,83,0.427586206897,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q4,155,False,139,16,0.896774193548,-80831642,-581522.604317,71,68,0.510791366906,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q1,249,False,225,24,0.903614457831,-505466942,-2246519.742222,107,118,0.475555555556,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q2,69,False,60,9,0.869565217391,6168557,102809.283333,32,28,0.533333333333,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q3,159,False,152,7,0.955974842767,-785768556,-5169529.973684,72,80,0.473684210526,REALIZED_CLOSED_EQUITY
TP10_T60S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q4,158,False,151,7,0.955696202532,60395449,399969.860927,79,72,0.523178807947,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,00:00-05:59,207,False,197,10,0.951690821256,487563016,2474939.167513,96,101,0.487309644670,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,06:00-11:59,206,False,190,16,0.922330097087,-1139978185,-5999885.184211,75,115,0.394736842105,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,12:00-17:59,93,False,89,4,0.956989247312,-183427210,-2060979.887640,35,54,0.393258426966,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,18:00-23:59,129,False,121,8,0.937984496124,-455665839,-3765833.380165,42,79,0.347107438017,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q1,190,False,175,15,0.921052631579,-254079238,-1451881.360000,83,92,0.474285714286,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q2,132,False,127,5,0.962121212121,-127034913,-1000274.905512,52,75,0.409448818898,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q3,158,False,149,9,0.943037974684,-427120031,-2866577.389262,50,99,0.335570469799,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q4,155,False,146,9,0.941935483871,-483274036,-3310096.136986,63,83,0.431506849315,REALIZED_CLOSED_EQUITY
