mint,price_identity,max_return_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_drawdown_depth_bps,max_3s_buys,max_3s_net_flow_reserve_ppm,broad_impulse_reached,broad_impulse_age_ms,broad_impulse_return_bps,broad_impulse_trades,broad_impulse_unique_buyers,broad_pullback_reached,broad_pullback_age_ms,broad_pullback_depth_at_activation_bps,max_pullback_depth_after_broad_impulse_bps,broad_proto_response_reached,broad_proto_response_age_ms,max_rebound_after_pullback_bps,max_3s_buys_after_pullback,max_3s_net_flow_reserve_ppm_after_pullback,max_reclaim_extension_after_proto_response_bps,data_valid_states,data_invalid_states
24qKPdpsFWdmfFWL3nQ76THGLtzXCAWQtuRuBKampump,SOL_NATIVE,2496,7,3,3814,2,6540,True,10124,1566,2,2,True,34220,3814,3814,False,,,,,,7,0
24qLbu5Y3YkEVpbXXWkgLcZeHFsFrWSpcnQJ492spump,SOL_NATIVE,0,3,0,1624,0,-471,False,,,,,False,,,,False,,,,,,3,0
24qLtuXFx2TxiU3GCEofwW5cj2RxjbBwTQeJmPmDpump,SOL_NATIVE,0,1,1,0,1,3281,False,,,,,False,,,,False,,,,,,1,0
24qM2G5rsxCAzYXWwvnDrQsr5xeYpGpTxH4U4bxapump,SOL_NATIVE,0,1,0,0,0,-3293,False,,,,,False,,,,False,,,,,,1,0
24qMAAeUS4ggVmwPmJrwjWjNgTo1zeNjoeiNauDvpump,SOL_NATIVE,0,1,0,0,0,-3292,False,,,,,False,,,,False,,,,,,1,0
24qPCKdD7pyyneLVu8MnAEvGjBZuc2sDHiR1wsdppump,SOL_NATIVE,28063,14,1,2590,1,522,True,15071,3169,2,1,True,33147,2086,2590,True,52279,26522,1,429,20562,14,0
24qPHs5KK7wqr9nqTStFUqsmwsFxUiCor8jQu9Qipump,SOL_NATIVE,6150,22,3,7952,2,4210,True,7565,1746,2,1,True,22920,3740,7952,True,136823,7536,2,4210,4803,22,0
24qQuaGtRT856q9AFZJHyCxi15Sx25jE9hBNFh7Ypump,SOL_NATIVE,1,7,1,3,1,32,False,,,,,False,,,,False,,,,,,7,0
24qRCC1X9TZ3K9gTXVnQjFjh4gtSy7xiRpaaXdFepump,SOL_NATIVE,14370,40,7,9412,2,15766,True,17867,1592,3,3,True,48847,1086,9412,True,244857,10213,2,15766,7155,40,0
24qSzoohRodnTfjYgCWNeE1TSDvXcPeKZd48FGrLpump,SOL_NATIVE,0,3,0,746,0,-7825,False,,,,,False,,,,False,,,,,,3,0
24qTV2t2o6PAPRdf5Pys354wJNYfTsW4XYdkPT21pump,SOL_NATIVE,3355,72,4,9489,2,22752,True,9689,3355,7,1,True,12375,2099,9489,True,263424,26720,2,22752,22236,72,0
24qTdqh1XJkaQCYCpEGrBfvLE47jJZ8hQrgRK4g5pump,SOL_NATIVE,4265,64,9,8920,3,22236,True,2343,1747,2,2,True,2364,2169,8920,True,268589,6079,3,22236,3608,64,0
24qTzcFU4LHbnCD9jif6nrpn17M6XayF7C5CPVzZpump,SOL_NATIVE,3218,7,3,4925,1,9778,True,4483,513,2,2,True,12064,3224,4925,True,27309,2008,1,1638,,7,0
24qYL6eQCpyN8WvBcVM6wUco7w14cvcYxw1koMtmpump,SOL_NATIVE,4832,77,14,8565,3,379836,True,1900,1769,2,1,True,4844,1212,8565,True,271041,45080,3,379836,34291,77,0
24qYt9vrVyp6T2EueAURGymF9MrpnDH6ceedMi9dpump,SOL_NATIVE,21005,37,6,5743,2,25932,True,3251,2191,3,2,True,28435,2071,5743,True,93407,15713,1,25932,6694,37,0
24qjbbQ6Z28bVVFChRt8PfRQi36Q5w8kpRAhzDT2pump,SOL_NATIVE,0,1,0,0,0,-1872,False,,,,,False,,,,False,,,,,,1,0
24rW98Uz2Zr2hZmZp7GtTf3GtP7dffdp3uHUB64ipump,SOL_NATIVE,0,1,1,0,1,753,False,,,,,False,,,,False,,,,,,1,0
25VBxxYhYrjZy86nAU3HRTWxWgwmSEpRfvEAaKE2pump,SOL_NATIVE,3983,24,4,9803,2,13006,True,8112,3032,2,1,True,32618,1512,9803,True,52882,4597,2,5951,3931,24,0
25bzbsbEnX2oFQ4A5yTghXnL6UtF5ZuoNgria1qKpump,SOL_NATIVE,1908,28,13,772,4,48983,True,10817,1022,11,4,False,,,772,False,,,,,,28,0
25nSThMwQUW96tyw32MzUNKKEpFWVPTn2fzsEiqapump,SOL_NATIVE,0,1,1,0,1,5389,False,,,,,False,,,,False,,,,,,1,0
25xyhS4CoqSnMQVgApv9CErgV9UgJ3scGiWUM6XLpump,SOL_NATIVE,146,2,2,0,2,14809,False,,,,,False,,,,False,,,,,,2,0
261a3rQQd1cCvYfhXE9KdgsoqbigFjeQHX5LgRsrpump,SOL_NATIVE,0,1,1,0,1,4480,False,,,,,False,,,,False,,,,,,1,0
269p2C24vNUB3NEkJsQcUUcKQz2Pee2Fg4GpuEa8pump,SOL_NATIVE,0,2,0,675,0,-22066,False,,,,,False,,,,False,,,,,,2,0
28ASAfhWnTP9LqYYvyd1CyNm2yaCJfF1YVwzmMh1pump,SOL_NATIVE,59,2,2,0,1,91707,False,,,,,False,,,,False,,,,,,2,0
28WZVsZJxhMRQbeoEWKyUvo1Xdin9qyNVnRAYHLPpump,SOL_NATIVE,0,1,0,0,0,-64,False,,,,,False,,,,False,,,,,,1,0
28azdhuyttWsy1Cxdp1BLsMWU1YXan2BMjdQD7nPpump,SOL_NATIVE,2841,24,6,9718,2,16569,True,11700,2841,5,4,True,19879,1590,9718,True,77618,3626,2,11755,1917,24,0
2965ex9UjjD6piAZaecyGo3HitPBzWPZjLRPbBwhpump,SOL_NATIVE,0,1,0,0,0,0,False,,,,,False,,,,False,,,,,,1,0
297YndZP9ZwUUkJShXKMTRevtRt25JCwRZdPQ8hfpump,SOL_NATIVE,0,1,0,0,0,-24687,False,,,,,False,,,,False,,,,,,1,0
29tQgTCDngnpLWcwmbHW1ekxyQicz8HibgW4ocG9G9G2,SOL_NATIVE,0,1,1,0,1,4130,False,,,,,False,,,,False,,,,,,1,0
2A7A7BbiqcW8NGWrcoMJdQc8biJz9a34tK4SsSVy6PAt,SOL_NATIVE,0,2,1,2978,1,162050,False,,,,,False,,,,False,,,,,,2,0
2ABv5BRk3z6j2anJDJ325MEEhHBYaVebCXJHkadJpump,SOL_NATIVE,0,3,1,1344,1,-69229,False,,,,,False,,,,False,,,,,,3,0
2AuVf8pvAqqq7LGqYg4H1JsLjrSy198yQEt3rwn5pump,SOL_NATIVE,0,1,0,0,0,-33,False,,,,,False,,,,False,,,,,,1,0
2BQRTS9oQ3JaVVWuL8v2pV81iBxHU9DzLgMhHHufpump,SOL_NATIVE,3168,20,11,5530,6,150544,True,5137,907,3,2,True,10117,2057,5530,True,10131,4389,6,150544,3674,20,0
2BRi28Sem2iDQexhAisj7AFvE49xNV4VXLAZPdw8pump,SOL_NATIVE,1003,7,6,244,4,84701,True,2144,678,4,4,False,,,244,False,,,,,,7,0
2BfkNAvxhGoR5njN9wfJiyer79fKhbDzkTyKPEa8pump,SOL_NATIVE,4484,73,31,6487,9,130446,True,5726,1541,12,5,True,28355,2394,6487,True,40793,1657,9,-2600,824,73,0
2BtGyv45VEBnzxEQKgxQpGx9u4zZdzHxKNQXdhsypump,SOL_NATIVE,173,2,2,0,2,38730,False,,,,,False,,,,False,,,,,,2,0
2C6NBJszGUgiDDSwAzzvWT8kPDBv3aaC2Vh2GZqApump,SOL_NATIVE,0,1,1,0,1,2007,False,,,,,False,,,,False,,,,,,1,0
2C7fvHayPvAcWsSXbqU1R71epx2zLDwQAZoGVC3R9Mar,SOL_NATIVE,0,2,0,307,0,-34048,False,,,,,False,,,,False,,,,,,2,0
2C9GDTkVdZreyPGGh8W11UmFPfzhohtiSLGAfccJS8gt,SOL_NATIVE,4607,22,9,6034,3,75102,True,4714,898,3,1,True,45040,3791,6034,False,,0,0,-71721,,22,0
2DKyG8vxUCBQvtU88bKYyo4EnaSSCj3hPfZ8X9z4pump,SOL_NATIVE,9057,28,26,102,6,172443,True,2,1525,2,2,False,,,102,False,,,,,,28,0
2DVqPwXwS6DghFa9UYvHMaJN8Gq9ysPNQdhPDNmGpump,SOL_NATIVE,3876,232,21,9816,11,305946,True,2992,1094,3,2,True,9923,1795,9816,True,101386,72813,11,305946,69800,232,0
2DjMaVtvEp1U56HysTsKH7DEsJWAZ7xk2nffgygvpump,SOL_NATIVE,0,1,1,0,1,3,False,,,,,False,,,,False,,,,,,1,0
2DzaY8JsyKVs8ziDPFLxRkGgoFTqxmNuwKRtYXcwpump,SOL_NATIVE,0,1,0,0,0,-38988,False,,,,,False,,,,False,,,,,,1,0
2F6EXXSJPWmFcT5WZMgMwtVwPEzyoeqELLBeGkt19yaq,SOL_NATIVE,0,1,0,0,0,-26828,False,,,,,False,,,,False,,,,,,1,0
