role,family,variant_id,tp_threshold_bps,fallback_time_stop_ms,fallback_role,clean_path_count,scored_count,unscored_count,tp_hit_count,tp_hit_rate_clean_paths,tp_hit_rate_scored,fallback_exit_count,p10_exit_bps,p25_exit_bps,p50_exit_bps,p75_exit_bps,p90_exit_bps,mean_exit_bps,positive_rate,negative_rate,exit_delay_p50_ms,tp_hit_delay_p50_ms,fallback_mark_age_p50_ms
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP20_T5s,2000,5000,AGGRESSIVE_SENSITIVITY,203,183,20,38,0.18719211822660098,0.20765027322404372,145,-965,18,522,1591,2187,530.983606557377,0.7704918032786885,0.22950819672131148,2926,275,2012
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP30_T5s,3000,5000,AGGRESSIVE_SENSITIVITY,203,183,20,18,0.08866995073891626,0.09836065573770492,165,-1037,7,473,1312,2924,500.4863387978142,0.7595628415300546,0.24043715846994534,2972,257,2006
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP03_T15s,300,15000,PRIMARY_ROBUST_ANCHOR,229,226,3,161,0.7030567685589519,0.7123893805309734,65,-1150,174,411,594,899,104.5,0.7876106194690266,0.21238938053097345,2774,25,2332
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP05_T15s,500,15000,PRIMARY_ROBUST_ANCHOR,229,226,3,141,0.6157205240174672,0.6238938053097345,85,-1355,-33,556,753,1057,124.3716814159292,0.7477876106194691,0.252212389380531,3038,72,2373
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP10_T15s,1000,15000,PRIMARY_ROBUST_ANCHOR,229,226,3,110,0.48034934497816595,0.48672566371681414,116,-1454,-345,704,1206,1557,233.50884955752213,0.6769911504424779,0.3230088495575221,7949,2457,2379
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP15_T15s,1500,15000,PRIMARY_ROBUST_ANCHOR,229,226,3,78,0.3406113537117904,0.34513274336283184,148,-1969,-579,362,1632,2008,252.31415929203538,0.6371681415929203,0.36283185840707965,10617,2789,2373
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP20_T15s,2000,15000,PRIMARY_ROBUST_ANCHOR,229,226,3,65,0.2838427947598253,0.28761061946902655,161,-2036,-588,339,2034,2388,300.49557522123894,0.6283185840707964,0.37168141592920356,11273,2872,2345
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP30_T15s,3000,15000,PRIMARY_ROBUST_ANCHOR,229,226,3,44,0.19213973799126638,0.19469026548672566,182,-2083,-606,323,1692,3215,377.6858407079646,0.6194690265486725,0.3805309734513274,12168,5023,2327
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP03_T5s,300,5000,AGGRESSIVE_SENSITIVITY,229,206,23,132,0.5764192139737991,0.6407766990291263,74,-761,68,387,584,899,160.48543689320388,0.7912621359223301,0.2087378640776699,155,10,2036
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP05_T5s,500,5000,AGGRESSIVE_SENSITIVITY,229,206,23,115,0.5021834061135371,0.558252427184466,91,-761,50,526,744,1012,226.89320388349515,0.7864077669902912,0.21359223300970873,966,19,2036
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP10_T5s,1000,5000,AGGRESSIVE_SENSITIVITY,229,206,23,76,0.3318777292576419,0.36893203883495146,130,-988,24,495,1108,1435,345.33009708737865,0.7669902912621359,0.23300970873786409,2780,44,2036
