mint,price_path_class,price_identity,flow_compatibility,flow_identity_conflict,strategy_error,strategy_final_state,strategy_candidate_compat_only,since_t0_trades,since_t0_sol_buy_lamports,since_t0_sol_sell_lamports,since_t0_quote_buy_raw,since_t0_quote_sell_raw,since_t0_net_flow_raw,since_t0_net_flow_reserve_ppm,sol_legacy_parity
24q87NzkQ7BxVmBWr5dFX7RfrVfZ79PrrLxZ7KKBpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,24,1040494452,9742311023,1040494452,9742311023,-8701816571,-175573,True
24q8bC3bPosFTY4bM44Zkswjpk3h4Qtcz9hrt8KXpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,899252551,0,899252551,-899252551,-29975,True
24qDEfnRLxeHdEboaa6RA4VYXQeZvpWzSMk1sdzQpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,PULLBACK_ACTIVE,False,14,499653949,261280172,499653949,261280172,238373777,6606,True
24qDrKc9iJuJcRmGAu3F3hPcJDYZoTEPdMZN9zvApump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_RECLAIM,False,6,223654699,38364860,223654699,38364860,185289839,4048,True
24qGhPYDfZGWUvfVe29DTKzPczBXqXN8qAzgQrD2pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,PULLBACK_ACTIVE,False,12,5132689689,1351989585,5132689689,1351989585,3780700104,147778,True
24qHNPpJmLox4sktTFgzQhwRFGqWqSvJfxJSvP5Upump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,1745988,3896060,1745988,3896060,-2150072,-1369,True
24qKPdpsFWdmfFWL3nQ76THGLtzXCAWQtuRuBKampump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,PULLBACK_ACTIVE,False,7,249892887,95279306,249892887,95279306,154613581,4133,True
24qLbu5Y3YkEVpbXXWkgLcZeHFsFrWSpcnQJ492spump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,3,0,355906421,0,355906421,-355906421,-11163,True
24qLtuXFx2TxiU3GCEofwW5cj2RxjbBwTQeJmPmDpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,98750000,0,98750000,0,98750000,3281,True
24qM2G5rsxCAzYXWwvnDrQsr5xeYpGpTxH4U4bxapump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,98833191,0,98833191,-98833191,-3293,True
24qMAAeUS4ggVmwPmJrwjWjNgTo1zeNjoeiNauDvpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,98749999,0,98749999,-98749999,-3292,True
24qPCKdD7pyyneLVu8MnAEvGjBZuc2sDHiR1wsdppump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,14,320903024,142620485,320903024,142620485,178282539,846,True
24qPHs5KK7wqr9nqTStFUqsmwsFxUiCor8jQu9Qipump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,22,219830100,371289752,219830100,371289752,-151459652,-25195,True
24qQuaGtRT856q9AFZJHyCxi15Sx25jE9hBNFh7Ypump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,7,101838178,168994777,101838178,168994777,-67156599,-59,True
24qRCC1X9TZ3K9gTXVnQjFjh4gtSy7xiRpaaXdFepump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,40,2079748699,2038077734,2079748699,2038077734,41670965,-57113,True
24qSzoohRodnTfjYgCWNeE1TSDvXcPeKZd48FGrLpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,3,0,21018063,0,21018063,-21018063,-46952,True
24qTV2t2o6PAPRdf5Pys354wJNYfTsW4XYdkPT21pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,72,4025486399,5014951322,4025486399,5014951322,-989464923,-86438,True
24qTdqh1XJkaQCYCpEGrBfvLE47jJZ8hQrgRK4g5pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,64,3275902933,3050613232,3275902933,3050613232,225289701,-57230,True
24qTzcFU4LHbnCD9jif6nrpn17M6XayF7C5CPVzZpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_RECLAIM,False,7,432268238,193043572,432268238,193043572,239224666,5995,True
24qYL6eQCpyN8WvBcVM6wUco7w14cvcYxw1koMtmpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,77,555188467,597941865,555188467,597941865,-42753398,-810339,True
24qYt9vrVyp6T2EueAURGymF9MrpnDH6ceedMi9dpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,37,1369010490,792545269,1369010490,792545269,576465221,38709,True
24qjbbQ6Z28bVVFChRt8PfRQi36Q5w8kpRAhzDT2pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,35905499,0,35905499,-35905499,-1872,True
24rW98Uz2Zr2hZmZp7GtTf3GtP7dffdp3uHUB64ipump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,29372838,0,29372838,0,29372838,753,True
25VBxxYhYrjZy86nAU3HRTWxWgwmSEpRfvEAaKE2pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,24,3366723734,6272643549,3366723734,6272643549,-2905919815,-48247,True
25bzbsbEnX2oFQ4A5yTghXnL6UtF5ZuoNgria1qKpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_PULLBACK,False,28,15076521027,8609997365,15076521027,8609997365,6466523662,83795,True
25nSThMwQUW96tyw32MzUNKKEpFWVPTn2fzsEiqapump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,162534128,0,162534128,0,162534128,5389,True
